brand,store_id,city,state,postal_code,zcta_candidate,county_geoid,county_name,cbsa_code,cbsa_title,cbsa_type,metro_context_status,latitude,longitude
Home Depot,366456bd-a9f7-4e87-bb59-3634eb8994d3,Douglasville,GA,30135,30135,13097,Douglas County,12060,Atlanta-Sandy Springs-Roswell GA,Metropolitan Statistical Area,cbsa,33.723045,-84.766228
Home Depot,df527851-c039-47d6-a9c8-8fc5ade85a7d,Dublin,GA,31021,31021,13175,Laurens County,20140,Dublin GA,Micropolitan Statistical Area,cbsa,32.541084,-82.941689
Home Depot,397b44ce-d5cb-4601-b0f4-bce53a39ca9b,Duluth,GA,30096,30096,13135,Gwinnett County,12060,Atlanta-Sandy Springs-Roswell GA,Metropolitan Statistical Area,cbsa,33.948772,-84.132874
Home Depot,f02d19c6-6784-4154-81b3-ba5bb7077e3e,Ellenwood,GA,30294,30294,13089,DeKalb County,12060,Atlanta-Sandy Springs-Roswell GA,Metropolitan Statistical Area,cbsa,33.620415,-84.232841
Home Depot,01b23fab-ddc0-4672-b7cf-40a34a8dab9d,Evans,GA,30809,30809,13073,Columbia County,12260,Augusta-Richmond County GA-SC,Metropolitan Statistical Area,cbsa,33.536499,-82.132103
Home Depot,7eb474fa-c530-411f-8b70-931426e56438,Fayetteville,GA,30214,30214,13113,Fayette County,12060,Atlanta-Sandy Springs-Roswell GA,Metropolitan Statistical Area,cbsa,33.482346,-84.437195
Home Depot,45165e07-e18a-4fed-be28-d3ad1579fdb1,Flowery Branch,GA,30542,30542,13139,Hall County,23580,Gainesville GA,Metropolitan Statistical Area,cbsa,34.178055,-83.911781
Home Depot,2d768ea8-dd80-4608-98d9-193cae855fc6,Fort Oglethorpe,GA,30742,30742,13047,Catoosa County,16860,Chattanooga TN-GA,Metropolitan Statistical Area,cbsa,34.948265,-85.229721
Home Depot,dfe43939-477a-4aaf-875b-82e3be2ed5ad,Gainesville,GA,30501,30501,13139,Hall County,23580,Gainesville GA,Metropolitan Statistical Area,cbsa,34.300167,-83.855186
Home Depot,bb632278-faaf-48c1-9bd5-cd916bb1f281,Greensboro,GA,30642,30642,13133,Greene County,,Non-CBSA Georgia county,Non-CBSA,non_cbsa,33.540089,-83.205887
Home Depot,51183b53-e735-4493-8be3-78bd54fcc085,Griffin,GA,30223,30223,13255,Spalding County,12060,Atlanta-Sandy Springs-Roswell GA,Metropolitan Statistical Area,cbsa,33.249233,-84.289482
Home Depot,87f5fa2b-92b0-43ed-b684-1a6596fc66be,Hampton,GA,30250,30250,13063,Clayton County,12060,Atlanta-Sandy Springs-Roswell GA,Metropolitan Statistical Area,cbsa,33.452415,-84.328041
Home Depot,e40a2f8d-3ad3-4982-ba06-8aff8665da22,Hartwell,GA,30643,30643,13147,Hart County,,Non-CBSA Georgia county,Non-CBSA,non_cbsa,34.347984,-82.901329
Home Depot,4b03f10e-1b57-4835-a9df-cb8a7c61cae4,Hiram,GA,30141,30141,13223,Paulding County,12060,Atlanta-Sandy Springs-Roswell GA,Metropolitan Statistical Area,cbsa,33.887634,-84.751282
Home Depot,935d37ee-7570-4092-91a6-eba34ea75b04,Jasper,GA,30143,30143,13227,Pickens County,12060,Atlanta-Sandy Springs-Roswell GA,Metropolitan Statistical Area,cbsa,34.468086,-84.462692
Home Depot,68e23179-dbd8-4ae0-8672-afa0aa3c4a0c,Johns Creek,GA,30097,30097,13121,Fulton County,12060,Atlanta-Sandy Springs-Roswell GA,Metropolitan Statistical Area,cbsa,34.013676,-84.187607
Home Depot,6180ad86-897c-456e-af15-d59a634e53ed,Kennesaw,GA,30144,30144,13067,Cobb County,12060,Atlanta-Sandy Springs-Roswell GA,Metropolitan Statistical Area,cbsa,34.007252,-84.563385
Home Depot,ebca87d5-d30b-48da-8b0b-b8300afdff50,Kennesaw,GA,30144,30144,13067,Cobb County,12060,Atlanta-Sandy Springs-Roswell GA,Metropolitan Statistical Area,cbsa,34.052124,-84.598755
Home Depot,d2e089bd-2ad4-4137-9cd6-1b080d241ace,Lagrange,GA,30241,30241,13285,Troup County,29300,LaGrange GA-AL,Micropolitan Statistical Area,cbsa,33.03994,-84.981209
Home Depot,49148559-765e-4c50-88fc-1571304d6781,Lawrenceville,GA,30043,30043,13135,Gwinnett County,12060,Atlanta-Sandy Springs-Roswell GA,Metropolitan Statistical Area,cbsa,33.968967,-84.016502
Home Depot,a0cf656a-08a1-4ed0-97b8-d1d89169ccf8,Lilburn,GA,30047,30047,13135,Gwinnett County,12060,Atlanta-Sandy Springs-Roswell GA,Metropolitan Statistical Area,cbsa,33.90192,-84.114174
Home Depot,de3f4a50-2855-40e2-baab-5234d9c46977,Lilburn,GA,30047,30047,13135,Gwinnett County,12060,Atlanta-Sandy Springs-Roswell GA,Metropolitan Statistical Area,cbsa,33.83741,-84.073982
Home Depot,bad9ba23-8009-4d02-a456-fdb076228f85,Lithia Springs,GA,30122,30122,13097,Douglas County,12060,Atlanta-Sandy Springs-Roswell GA,Metropolitan Statistical Area,cbsa,33.778629,-84.610474
Home Depot,1f9c59ba-5b80-43c6-a399-7491460ee661,Loganville,GA,30052,30052,13297,Walton County,12060,Atlanta-Sandy Springs-Roswell GA,Metropolitan Statistical Area,cbsa,33.843296,-83.911392
Home Depot,900c5f25-6275-4296-9037-d0507845e869,Macon,GA,31206,31206,13021,Bibb County,31420,Macon-Bibb County GA,Metropolitan Statistical Area,cbsa,32.822525,-83.713264
Home Depot,3618c2e9-f70a-4076-8c4d-a5bff5a44d00,Marietta,GA,30064,30064,13067,Cobb County,12060,Atlanta-Sandy Springs-Roswell GA,Metropolitan Statistical Area,cbsa,33.947598,-84.620567
Home Depot,6c3e166c-2f0a-496a-b6d2-cc10e7a3e3a9,Marietta,GA,30066,30066,13067,Cobb County,12060,Atlanta-Sandy Springs-Roswell GA,Metropolitan Statistical Area,cbsa,34.038113,-84.465073
Home Depot,c58c9215-c5e4-4ee7-98bd-c68325f36133,Marietta,GA,30062,30062,13067,Cobb County,12060,Atlanta-Sandy Springs-Roswell GA,Metropolitan Statistical Area,cbsa,33.981049,-84.434906
Home Depot,4ed76c71-3829-4ea3-be70-a1818aee8447,McDonough,GA,30253,30253,13151,Henry County,12060,Atlanta-Sandy Springs-Roswell GA,Metropolitan Statistical Area,cbsa,33.46563,-84.213104
Home Depot,2c33c593-2be1-4a9d-81a2-e9a52d341812,Monroe,GA,30655,30655,13297,Walton County,12060,Atlanta-Sandy Springs-Roswell GA,Metropolitan Statistical Area,cbsa,33.800697,-83.745094
Home Depot,b52f1a47-f797-4fbb-bd75-212e7dbbe305,Morrow,GA,30260,30260,13063,Clayton County,12060,Atlanta-Sandy Springs-Roswell GA,Metropolitan Statistical Area,cbsa,33.564198,-84.322586
Home Depot,b79ad7b5-e19c-43ad-a8af-3f46b15da0a6,Moultrie,GA,31788,31788,13071,Colquitt County,34220,Moultrie GA,Micropolitan Statistical Area,cbsa,31.190067,-83.760117
Home Depot,b3ebd9bc-4412-453a-8be2-7bdd890987ea,Newnan,GA,30265,30265,13077,Coweta County,12060,Atlanta-Sandy Springs-Roswell GA,Metropolitan Statistical Area,cbsa,33.401512,-84.74131
Home Depot,9c39cfec-7f18-4232-b4a7-6872740b0059,Norcross,GA,30093,30093,13135,Gwinnett County,12060,Atlanta-Sandy Springs-Roswell GA,Metropolitan Statistical Area,cbsa,33.868675,-84.190041
Home Depot,c6d7b45b-4a8a-4996-b82f-c16f45df0e40,Peachtree City,GA,30269,30269,13113,Fayette County,12060,Atlanta-Sandy Springs-Roswell GA,Metropolitan Statistical Area,cbsa,33.399197,-84.598511
Home Depot,8ef7acd4-dc3c-435f-bec5-553a00cc0e10,Pooler,GA,31322,31322,13051,Chatham County,42340,Savannah GA,Metropolitan Statistical Area,cbsa,32.143616,-81.245811
Home Depot,6a46012d-3210-4afe-8214-4a8ca91c5fc5,Powder Springs,GA,30127,30127,13067,Cobb County,12060,Atlanta-Sandy Springs-Roswell GA,Metropolitan Statistical Area,cbsa,33.865311,-84.678032
Home Depot,646e9f02-6dba-438d-9cf1-88d0fb212ad5,Riverdale,GA,30274,30274,13063,Clayton County,12060,Atlanta-Sandy Springs-Roswell GA,Metropolitan Statistical Area,cbsa,33.558937,-84.411186
Home Depot,d25813ae-4f3a-4f7a-acd6-32eaf7043a08,Rome,GA,30161,30161,13115,Floyd County,40660,Rome GA,Metropolitan Statistical Area,cbsa,34.254253,-85.162308
Home Depot,373b91fc-4a58-40eb-b22b-581da706f5b5,Roswell,GA,30075,30075,13121,Fulton County,12060,Atlanta-Sandy Springs-Roswell GA,Metropolitan Statistical Area,cbsa,34.058907,-84.386261
Home Depot,d31972f1-7c3d-460f-bb8d-493c1d446124,Roswell,GA,30076,30076,13121,Fulton County,12060,Atlanta-Sandy Springs-Roswell GA,Metropolitan Statistical Area,cbsa,34.018524,-84.309044
Home Depot,fffe98e9-d544-4ee2-b4b8-f08c4a0b663b,Sandy Springs,GA,30328,30328,13121,Fulton County,12060,Atlanta-Sandy Springs-Roswell GA,Metropolitan Statistical Area,cbsa,33.929565,-84.355003
Home Depot,d64f92b1-bf00-4071-bb79-eb52a335d0f1,Savannah,GA,31419,31419,13051,Chatham County,42340,Savannah GA,Metropolitan Statistical Area,cbsa,31.983034,-81.144302
Home Depot,dcea1e26-18a5-4b26-891c-6499cbf3a48b,Savannah,GA,31404,31404,13051,Chatham County,42340,Savannah GA,Metropolitan Statistical Area,cbsa,32.041908,-81.068184
Home Depot,3de46ff9-bac4-41e1-8d44-31f2a0d13bfc,Snellville,GA,30078,30078,13135,Gwinnett County,12060,Atlanta-Sandy Springs-Roswell GA,Metropolitan Statistical Area,cbsa,33.881058,-84.008484
Home Depot,34b2e317-433a-4049-a75e-8d9ac01064bc,Suwanee,GA,30024,30024,13135,Gwinnett County,12060,Atlanta-Sandy Springs-Roswell GA,Metropolitan Statistical Area,cbsa,34.003952,-84.078545
Home Depot,64da7bd7-0b37-41fd-981a-f0367f53c205,Suwanee,GA,30024,30024,13135,Gwinnett County,12060,Atlanta-Sandy Springs-Roswell GA,Metropolitan Statistical Area,cbsa,34.095039,-84.171074
Home Depot,e0c59ab2-3d57-4e3a-83c0-0328c8078953,Thomaston,GA,30286,30286,13293,Upson County,45580,Thomaston GA,Micropolitan Statistical Area,cbsa,32.921722,-84.336845
Home Depot,45722ad6-810d-431d-a1f0-633dbfc28461,Toccoa,GA,30577,30577,13257,Stephens County,45740,Toccoa GA,Micropolitan Statistical Area,cbsa,34.54501,-83.28669
Home Depot,35c31f0c-47cb-4fd3-8d62-a9c5de4395f4,Valdosta,GA,31601,31601,13185,Lowndes County,46660,Valdosta GA,Metropolitan Statistical Area,cbsa,30.844542,-83.315239
Home Depot,2f9f3ffb-9498-4f22-a3af-71ebbad225d6,Villa Rica,GA,30180,30180,13045,Carroll County,12060,Atlanta-Sandy Springs-Roswell GA,Metropolitan Statistical Area,cbsa,33.719181,-84.941727
Home Depot,6b72026e-e890-4ad0-8d6f-b8898612c1c5,Warner Robins,GA,31093,31093,13153,Houston County,47580,Warner Robins GA,Metropolitan Statistical Area,cbsa,32.619762,-83.66655
Home Depot,4cf35df1-bfc5-4f74-96db-99c5304b858f,Woodstock,GA,30189,30189,13057,Cherokee County,12060,Atlanta-Sandy Springs-Roswell GA,Metropolitan Statistical Area,cbsa,34.08651,-84.538834
Lowe's,6be57923-b0ee-43bf-b515-9f50cb8f637b,Albany,GA,31707,31707,13095,Dougherty County,10500,Albany GA,Metropolitan Statistical Area,cbsa,31.61463,-84.209839
Lowe's,40ed1380-7924-4588-a2ef-928cfcb9ac01,Alpharetta,GA,30009,30009,13121,Fulton County,12060,Atlanta-Sandy Springs-Roswell GA,Metropolitan Statistical Area,cbsa,34.037716,-84.31852
Lowe's,c432016e-9099-4381-af71-27247b1b67a5,Alpharetta,GA,30004,30004,13121,Fulton County,12060,Atlanta-Sandy Springs-Roswell GA,Metropolitan Statistical Area,cbsa,34.094818,-84.281273
Lowe's,6f3986a7-24bb-4ccd-94d0-ed1fac3face1,Americus,GA,31709,31709,13261,Sumter County,11140,Americus GA,Micropolitan Statistical Area,cbsa,32.064072,-84.201263
Lowe's,7224fc62-eb7d-4a3a-977e-152ce63ca251,Athens,GA,30605,30605,13059,Clarke County,12020,Athens-Clarke County GA,Metropolitan Statistical Area,cbsa,33.940483,-83.322456
Lowe's,68fc6334-3753-4dea-bafd-ee879f4985e9,Athens,GA,30606,30606,13059,Clarke County,12020,Athens-Clarke County GA,Metropolitan Statistical Area,cbsa,33.91737,-83.446136
Lowe's,7aa28e60-48c4-4ce5-964f-32d2f973ffa7,Augusta,GA,30907,30907,13073,Columbia County,12260,Augusta-Richmond County GA-SC,Metropolitan Statistical Area,cbsa,33.507404,-82.090828
Lowe's,a1d9b759-9c83-42ce-8e08-30c8e661a0b3,Braselton,GA,30517,30517,13157,Jackson County,27600,Jefferson GA,Micropolitan Statistical Area,cbsa,34.105724,-83.814369
Lowe's,8d7441a5-ff76-4597-9da3-5109058aca6f,Buford,GA,30519,30519,13135,Gwinnett County,12060,Atlanta-Sandy Springs-Roswell GA,Metropolitan Statistical Area,cbsa,34.086967,-83.98748
Lowe's,e37c8915-a8b2-45ab-bfe4-90bac65013f8,Carrollton,GA,30117,30117,13045,Carroll County,12060,Atlanta-Sandy Springs-Roswell GA,Metropolitan Statistical Area,cbsa,33.545135,-85.077423
Lowe's,d8dfeaeb-2ae4-42be-bb0d-279de317fb33,Chamblee,GA,30341,30341,13089,DeKalb County,12060,Atlanta-Sandy Springs-Roswell GA,Metropolitan Statistical Area,cbsa,33.885303,-84.317345
Lowe's,0456e0cb-fc0b-4c6d-9962-4c530e179acb,Columbus,GA,31909,31909,13215,Muscogee County,17980,Columbus GA-AL,Metropolitan Statistical Area,cbsa,32.540817,-84.95285
Lowe's,5da9af33-a892-4a2e-b7d9-ce17924fa3a6,Conyers,GA,30013,30013,13247,Rockdale County,12060,Atlanta-Sandy Springs-Roswell GA,Metropolitan Statistical Area,cbsa,33.639568,-84.019363
Lowe's,39d16ac6-02a5-416c-94d8-6a83ed93512e,Cornelia,GA,30531,30531,13137,Habersham County,18460,Cornelia GA,Micropolitan Statistical Area,cbsa,34.543842,-83.540359
Lowe's,468f7889-9d71-4be0-a6b4-6cbf02b730b7,Cumming,GA,30041,30041,13117,Forsyth County,12060,Atlanta-Sandy Springs-Roswell GA,Metropolitan Statistical Area,cbsa,34.182995,-84.132942
Lowe's,d8243a74-f27a-45ca-9cb9-d90f8a4c03f5,Dalton,GA,30721,30721,13313,Whitfield County,19140,Dalton GA,Metropolitan Statistical Area,cbsa,34.791325,-84.96125
Lowe's,54d33027-c77c-45cb-a665-33cbeb24b5ce,Douglas,GA,31533,31533,13069,Coffee County,20060,Douglas GA,Micropolitan Statistical Area,cbsa,31.484898,-82.845406
Lowe's,4d66291d-83fc-4798-8cad-8de68234a799,Douglasville,GA,30135,30135,13097,Douglas County,12060,Atlanta-Sandy Springs-Roswell GA,Metropolitan Statistical Area,cbsa,33.727016,-84.759979
Lowe's,63a3389c-d348-4d85-950e-5e2c47cdabb9,East Point,GA,30344,30344,13121,Fulton County,12060,Atlanta-Sandy Springs-Roswell GA,Metropolitan Statistical Area,cbsa,33.656425,-84.505219
Lowe's,2cc8a657-c8e8-4d23-96d5-0da0d6ffd6a6,Ellijay,GA,30540,30540,13123,Gilmer County,,Non-CBSA Georgia county,Non-CBSA,non_cbsa,34.65992,-84.486977
Lowe's,7c903db4-f652-473d-bccc-92e0503abf1c,Fayetteville,GA,30214,30214,13113,Fayette County,12060,Atlanta-Sandy Springs-Roswell GA,Metropolitan Statistical Area,cbsa,33.472874,-84.446724
Lowe's,9b32d1f7-e8bf-4628-8c2e-5410553cd962,Fort Oglethorpe,GA,30742,30742,13047,Catoosa County,16860,Chattanooga TN-GA,Metropolitan Statistical Area,cbsa,34.947166,-85.227875
Lowe's,7aa07694-0c68-48e3-b580-582177f06839,Gainesville,GA,30504,30504,13139,Hall County,23580,Gainesville GA,Metropolitan Statistical Area,cbsa,34.291416,-83.84655
Lowe's,368038c6-25e9-4cc6-8210-a66aa98aab3c,Griffin,GA,30223,30223,13255,Spalding County,12060,Atlanta-Sandy Springs-Roswell GA,Metropolitan Statistical Area,cbsa,33.245583,-84.291702
Lowe's,b3ac511f-8580-47e0-b4e1-76c29faa9f63,Lithonia,GA,30038,30038,13089,DeKalb County,12060,Atlanta-Sandy Springs-Roswell GA,Metropolitan Statistical Area,cbsa,33.699024,-84.170135
Lowe's,b49f8f2d-b23c-492e-a7ca-36e5fc37adda,Loganville,GA,30052,30052,13297,Walton County,12060,Atlanta-Sandy Springs-Roswell GA,Metropolitan Statistical Area,cbsa,33.84906,-83.911102
Lowe's,06a8dac5-9b33-43d7-baf6-32db4d163753,Mableton,GA,30106,30106,13067,Cobb County,12060,Atlanta-Sandy Springs-Roswell GA,Metropolitan Statistical Area,cbsa,33.853058,-84.59967
Lowe's,e4bf784e-f18b-4b1e-a361-ea0e9d2a8476,Marietta,GA,30064,30064,13067,Cobb County,12060,Atlanta-Sandy Springs-Roswell GA,Metropolitan Statistical Area,cbsa,33.948326,-84.628311
Lowe's,6dd740f5-c5e6-4680-87f6-ba99af3edcab,Milledgeville,GA,31061,31061,13009,Baldwin County,33300,Milledgeville GA,Micropolitan Statistical Area,cbsa,33.102516,-83.247543
Lowe's,14b0a96b-a7e1-4ddb-9381-e51e89db4f1c,Morrow,GA,30260,30260,13063,Clayton County,12060,Atlanta-Sandy Springs-Roswell GA,Metropolitan Statistical Area,cbsa,33.568619,-84.330399
Lowe's,05c9991f-aa9f-4a82-b66d-83d2595085ec,Moultrie,GA,31788,31788,13071,Colquitt County,34220,Moultrie GA,Micropolitan Statistical Area,cbsa,31.19375,-83.763199
Lowe's,cd8b4b06-1659-4f30-8dd6-920d808a4b7c,Rincon,GA,31326,31326,13103,Effingham County,42340,Savannah GA,Metropolitan Statistical Area,cbsa,32.272835,-81.230377
Lowe's,043478d3-326a-46ea-a249-451428fdaa04,Rome,GA,30165,30165,13115,Floyd County,40660,Rome GA,Metropolitan Statistical Area,cbsa,34.273575,-85.234489
Lowe's,b118ba6b-fc3b-490d-9573-51287192360e,Sandy Springs,GA,30328,30328,13121,Fulton County,12060,Atlanta-Sandy Springs-Roswell GA,Metropolitan Statistical Area,cbsa,33.917099,-84.376999
Lowe's,e602c5c6-4304-4667-82c1-0534a47ac2d7,Savannah,GA,31419,31419,13051,Chatham County,42340,Savannah GA,Metropolitan Statistical Area,cbsa,31.981821,-81.141586
Lowe's,88c6ebf2-0631-4e51-aa38-bd7eb6cdab57,Snellville,GA,30078,30078,13135,Gwinnett County,12060,Atlanta-Sandy Springs-Roswell GA,Metropolitan Statistical Area,cbsa,33.88525,-84.012131
Lowe's,c51b5bcd-25b6-4ca6-8364-470bb0edd0c6,Statesboro,GA,30461,30461,13031,Bulloch County,44340,Statesboro GA,Micropolitan Statistical Area,cbsa,32.430573,-81.755211
Lowe's,f166fecb-d9c0-40aa-b17f-47168da01386,Stockbridge,GA,30281,30281,13151,Henry County,12060,Atlanta-Sandy Springs-Roswell GA,Metropolitan Statistical Area,cbsa,33.549709,-84.279694
Lowe's,6689f05b-6f61-43ce-897d-6ba9f9106687,Suwanee,GA,30024,30024,13135,Gwinnett County,12060,Atlanta-Sandy Springs-Roswell GA,Metropolitan Statistical Area,cbsa,34.036198,-84.054604
Lowe's,42ed976c-87da-4197-a690-82945cc65290,Thomasville,GA,31792,31792,13275,Thomas County,45620,Thomasville GA,Micropolitan Statistical Area,cbsa,30.839607,-83.946648
Lowe's,d74e5135-6083-4704-89db-8927ccdcbf29,Warner Robins,GA,31093,31093,13153,Houston County,47580,Warner Robins GA,Metropolitan Statistical Area,cbsa,32.620392,-83.670799
