target_id,target_label,anchor_field,facility_type,facility_id,facility_name,operator,street_address,city,state,postal_code,latitude,longitude,source,source_date,license_status,rights_status,review_status,review_reason
bellevue-core,Bellevue core mall field,eastside_urban_mall_field,park,osm:way:24547844,Bellevue Downtown Park,City of Bellevue,,Bellevue,WA,,47.6125366,-122.204302,OpenStreetMap Overpass API,2026-08-13,open,ODbL; attribution and share-alike required,packet_ready,primary_civic_facility_candidate
southcenter-tukwila,Southcenter / Tukwila mall field,south_king_regional_mall_field,park,osm:way:246158551,Bicentennial Park,City of Tukwila,7200 Strander Boulevard,Tukwila,WA,98188,47.4564265,-122.247445,OpenStreetMap Overpass API,2026-08-13,open,ODbL; attribution and share-alike required,packet_ready,primary_civic_facility_candidate
southcenter-tukwila,Southcenter / Tukwila mall field,south_king_regional_mall_field,park,osm:way:155091103,Black River Riparian Forest and Wetland,,,Tukwila,WA,,47.4762128,-122.2384943,OpenStreetMap Overpass API,2026-08-13,open,ODbL; attribution and share-alike required,packet_ready,primary_civic_facility_candidate
southcenter-tukwila,Southcenter / Tukwila mall field,south_king_regional_mall_field,park,osm:way:473914275,Bow Lake Park,,,Tukwila,WA,,47.4445097,-122.2709839,OpenStreetMap Overpass API,2026-08-13,open,ODbL; attribution and share-alike required,packet_ready,primary_civic_facility_candidate
southcenter-tukwila,Southcenter / Tukwila mall field,south_king_regional_mall_field,park,osm:way:31929281,Crystal Springs Park,,,Tukwila,WA,,47.4592536,-122.2703413,OpenStreetMap Overpass API,2026-08-13,open,ODbL; attribution and share-alike required,packet_ready,primary_civic_facility_candidate
southcenter-tukwila,Southcenter / Tukwila mall field,south_king_regional_mall_field,park,osm:way:521045693,Hazelnut Park,,,Tukwila,WA,,47.4720155,-122.2597339,OpenStreetMap Overpass API,2026-08-13,open,ODbL; attribution and share-alike required,packet_ready,primary_civic_facility_candidate
southcenter-tukwila,Southcenter / Tukwila mall field,south_king_regional_mall_field,park,osm:way:120037004,Ikawa Park,,,Tukwila,WA,,47.4625895,-122.2551967,OpenStreetMap Overpass API,2026-08-13,open,ODbL; attribution and share-alike required,packet_ready,primary_civic_facility_candidate
southcenter-tukwila,Southcenter / Tukwila mall field,south_king_regional_mall_field,park,osm:way:521045690,Macadam Winter Garden,,,Tukwila,WA,,47.4735649,-122.2671937,OpenStreetMap Overpass API,2026-08-13,open,ODbL; attribution and share-alike required,packet_ready,primary_civic_facility_candidate
southcenter-tukwila,Southcenter / Tukwila mall field,south_king_regional_mall_field,park,osm:way:26228019,Tukwila Park,,15400 65th Avenue South,Tukwila,WA,98188,47.4648187,-122.2509089,OpenStreetMap Overpass API,2026-08-13,open,ODbL; attribution and share-alike required,packet_ready,primary_civic_facility_candidate
southcenter-tukwila,Southcenter / Tukwila mall field,south_king_regional_mall_field,park,osm:way:27368560,Tukwila Pond Park,,,Tukwila,WA,,47.4534307,-122.2571656,OpenStreetMap Overpass API,2026-08-13,open,ODbL; attribution and share-alike required,packet_ready,primary_civic_facility_candidate
southcenter-tukwila,Southcenter / Tukwila mall field,south_king_regional_mall_field,park,osm:way:654954869,Tukwila Pond Park,,299 Strander Blvd,Tukwila,WA,98188,47.4538134,-122.2595565,OpenStreetMap Overpass API,2026-08-13,open,ODbL; attribution and share-alike required,packet_ready,primary_civic_facility_candidate
tacoma-mall,Tacoma Mall field,south_sound_regional_mall_field,park,osm:way:619855516,Edna Travis Park,,,Tacoma,WA,,47.2398504,-122.446781,OpenStreetMap Overpass API,2026-08-13,open,ODbL; attribution and share-alike required,packet_ready,primary_civic_facility_candidate
tacoma-mall,Tacoma Mall field,south_sound_regional_mall_field,park,osm:way:23142552,Irving Park,,2502 South Hosmer Street,Tacoma,WA,98405,47.235919,-122.4622665,OpenStreetMap Overpass API,2026-08-13,open,ODbL; attribution and share-alike required,packet_ready,primary_civic_facility_candidate
tacoma-mall,Tacoma Mall field,south_sound_regional_mall_field,park,osm:way:23133126,Lincoln Heights Park,,,Tacoma,WA,,47.2269819,-122.4691393,OpenStreetMap Overpass API,2026-08-13,open,ODbL; attribution and share-alike required,packet_ready,primary_civic_facility_candidate
tacoma-mall,Tacoma Mall field,south_sound_regional_mall_field,park,osm:way:24636205,Sawyer Tot Lot,,,Tacoma,WA,,47.2291478,-122.4537407,OpenStreetMap Overpass API,2026-08-13,open,ODbL; attribution and share-alike required,packet_ready,primary_civic_facility_candidate
tacoma-mall,Tacoma Mall field,south_sound_regional_mall_field,park,osm:way:24636177,Sheridan Park,,,Tacoma,WA,,47.2375046,-122.4524483,OpenStreetMap Overpass API,2026-08-13,open,ODbL; attribution and share-alike required,packet_ready,primary_civic_facility_candidate
tacoma-mall,Tacoma Mall field,south_sound_regional_mall_field,park,osm:way:23142322,Stanley Playfield,Metro Parks Tacoma,1712 South 17th Street,Tacoma,WA,98405,47.2434985,-122.4593602,OpenStreetMap Overpass API,2026-08-13,open,ODbL; attribution and share-alike required,packet_ready,primary_civic_facility_candidate
