"target_id","target_label","movement_type","anchor_field","sidecar_layer","facility_id","facility_name","operator","street_address","city","state","postal_code","latitude","longitude","source","source_date","license_status","rights_status","review_status","review_reason"
"loop-river-north","Loop / River North field","depot_intermodal","urban_core_mixed_service_field","transit_center","osm:node:258940057","Harold Washington Library-State/Van Buren","Chicago Transit Authority","","Chicago","IL","60605","41.8769158","-87.6289437","OpenStreetMap Overpass API name-constrained retry","2026-08-16","open","ODbL; attribution and share-alike required","packet_ready","name_constrained_terminal_station_retry"
"loop-river-north","Loop / River North field","depot_intermodal","urban_core_mixed_service_field","transit_center","osm:node:5349574577","Merchandise Mart","Chicago Transit Authority","","Chicago","IL","60654","41.8888417","-87.6340039","OpenStreetMap Overpass API name-constrained retry","2026-08-16","open","ODbL; attribution and share-alike required","packet_ready","name_constrained_terminal_station_retry"
"loop-river-north","Loop / River North field","depot_intermodal","urban_core_mixed_service_field","transit_center","osm:node:5746145313","Millennium Station","Metra;NICTD","","Chicago","IL","60601","41.884409","-87.6236902","OpenStreetMap Overpass API name-constrained retry","2026-08-16","open","ODbL; attribution and share-alike required","packet_ready","name_constrained_terminal_station_retry"
"loop-river-north","Loop / River North field","depot_intermodal","urban_core_mixed_service_field","transit_center","osm:node:11885108140","Ogilvie / Union (West Loop)","Chicago Water Taxi","","Chicago","IL",,"41.8824278","-87.6386","OpenStreetMap Overpass API name-constrained retry","2026-08-16","open","ODbL; attribution and share-alike required","packet_ready","name_constrained_terminal_station_retry"
"loop-river-north","Loop / River North field","depot_intermodal","urban_core_mixed_service_field","transit_center","osm:way:1280391309","Ogilvie / Union (West Loop) - Chicago Water Taxi Terminal","Chicago Water Taxi","","Chicago","IL",,"41.8822074","-87.6386508","OpenStreetMap Overpass API name-constrained retry","2026-08-16","open","ODbL; attribution and share-alike required","packet_ready","name_constrained_terminal_station_retry"
"loop-river-north","Loop / River North field","depot_intermodal","urban_core_mixed_service_field","transit_center","osm:node:7130113698","Ogilvie Transportation Center","Metra","","Chicago","IL","60661","41.8837873","-87.6405272","OpenStreetMap Overpass API name-constrained retry","2026-08-16","open","ODbL; attribution and share-alike required","packet_ready","name_constrained_terminal_station_retry"
"loop-river-north","Loop / River North field","depot_intermodal","urban_core_mixed_service_field","transit_center","osm:way:1458556540","Union Station Transit Center","","","Chicago","IL","60606","41.8778","-87.6403308","OpenStreetMap Overpass API name-constrained retry","2026-08-16","open","ODbL; attribution and share-alike required","packet_ready","name_constrained_terminal_station_retry"
"loop-river-north","Loop / River North field","depot_intermodal","urban_core_mixed_service_field","transit_center","osm:node:20217442","Union Station/Willis Tower","Shoreline Water Taxi","","Chicago","IL",,"41.8790618","-87.6377402","OpenStreetMap Overpass API name-constrained retry","2026-08-16","open","ODbL; attribution and share-alike required","packet_ready","name_constrained_terminal_station_retry"
"loop-river-north","Loop / River North field","depot_intermodal","urban_core_mixed_service_field","transit_center","osm:node:289820702","Washington","Chicago Transit Authority","","Chicago","IL","60602","41.8832522","-87.6294604","OpenStreetMap Overpass API name-constrained retry","2026-08-16","open","ODbL; attribution and share-alike required","packet_ready","name_constrained_terminal_station_retry"
"loop-river-north","Loop / River North field","depot_intermodal","urban_core_mixed_service_field","transit_center","osm:node:5091005359","Washington/Wabash","Chicago Transit Authority","","Chicago","IL","60602","41.8825121","-87.6262113","OpenStreetMap Overpass API name-constrained retry","2026-08-16","open","ODbL; attribution and share-alike required","packet_ready","name_constrained_terminal_station_retry"
"loop-river-north","Loop / River North field","depot_intermodal","urban_core_mixed_service_field","transit_center","osm:node:258940051","Washington/Wells","Chicago Transit Authority","","Chicago","IL","60606","41.8824096","-87.6338517","OpenStreetMap Overpass API name-constrained retry","2026-08-16","open","ODbL; attribution and share-alike required","packet_ready","name_constrained_terminal_station_retry"
