review_status,rows
needs_review,10
packet_ready,1259

review_reason,rows
missing_required_field,10
primary_store_candidate,1259

total_stores,1259

brand,stores
Burger King,266
McDonald's,449
Taco Bell,255
Wendy's,289

city,state,leader,leader_stores,total_stores,status
Stockbridge,GA,McDonald's,4,10,contested
Stone Mountain,GA,McDonald's,5,10,contested
Sugar Hill,GA,McDonald's,1,1,dominant
Summerville,GA,Burger King,1,3,contested
Suwanee,GA,McDonald's,3,10,contested
Swainsboro,GA,Burger King,1,4,contested
Sylvania,GA,McDonald's,1,1,dominant
Sylvester,GA,Burger King,1,3,contested
Tallapoosa,GA,Taco Bell,1,1,dominant
Temple,GA,Burger King,1,3,contested
Thomaston,GA,Burger King,1,4,contested
Thomasville,GA,Burger King,1,3,contested
Thomson,GA,Burger King,1,4,contested
Tifton,GA,McDonald's,3,9,contested
Toccoa,GA,Burger King,1,4,contested
Trenton,GA,McDonald's,1,3,contested
Trion,GA,Wendy's,1,1,dominant
Tucker,GA,McDonald's,2,2,dominant
Unadilla,GA,Burger King,1,2,contested
Union City,GA,Burger King,1,4,contested
Valdosta,GA,McDonald's,6,19,contested
Varnell,GA,McDonald's,1,2,contested
Vidalia,GA,Burger King,1,4,contested
Vienna,GA,McDonald's,1,1,dominant
Villa Rica,GA,McDonald's,2,6,contested
Warner Robins,GA,McDonald's,5,15,contested
Washington,GA,McDonald's,1,1,dominant
Watkinsville,GA,McDonald's,1,1,dominant
Waycross,GA,McDonald's,2,5,contested
Waynesboro,GA,Burger King,1,3,contested
Winder,GA,Burger King,1,4,contested
Woodstock,GA,McDonald's,4,10,contested
Wrens,GA,McDonald's,1,1,dominant
Zebulon,GA,Burger King,1,1,dominant
