region,field_id,label,anchor_field,qsr_rows,qsr_brands,qsr_signal,auto_parts_rows,auto_parts_brands,auto_parts_signal,gas_convenience_rows,gas_convenience_brands,gas_convenience_signal,car_trip_stack_signal
dallas,northpark-preston-hollow,NorthPark / Preston Hollow field,north_dallas_regional_mall_field,4,2,qsr_service_node,2,2,auto_service_node,5,4,gas_convenience_service_node,mixed_car_trip_stack
dallas,southlake-town-square,Southlake Town Square field,affluent_suburban_town_center_field,1,1,single_qsr_anchor,0,0,checked_absent,1,1,single_gas_convenience_anchor,light_car_trip_support_core_field
philadelphia,camden-waterfront,Camden Waterfront / Cooper field,older_industrial_river_civic_field,3,2,qsr_service_node,0,0,checked_absent,4,3,gas_convenience_service_node,light_service_node_car_trip_support
philadelphia,center-city-market-east,Center City / Market East field,dense_northeast_rail_civic_retail_field,4,3,qsr_service_node,0,0,checked_absent,10,3,multi_brand_car_trip_corridor,gas_car_trip_corridor_food_light
philadelphia,cherry-hill-moorestown,Cherry Hill / Moorestown field,south_jersey_mall_edge_field,7,3,multi_brand_qsr_corridor,5,3,multi_brand_auto_service_corridor,16,5,dense_multi_brand_car_trip_grid,combined_car_oriented_retail_enclave
philadelphia,conshohocken-plymouth-meeting,Conshohocken / Plymouth Meeting field,river_office_suburban_edge_field,3,3,qsr_service_node,0,0,checked_absent,5,3,gas_convenience_service_node,light_service_node_car_trip_support
philadelphia,king-of-prussia,King of Prussia field,suburban_edge_city_superregional_mall_field,2,1,qsr_service_node,0,0,checked_absent,5,3,gas_convenience_service_node,light_service_node_car_trip_support
philadelphia,northeast-roosevelt,Northeast Philadelphia / Roosevelt Boulevard field,inner_suburban_auto_corridor_field,12,4,four_brand_dense_qsr_grid,3,2,multi_brand_auto_service_corridor,21,6,dense_multi_brand_car_trip_grid,combined_car_oriented_retail_enclave
philadelphia,south-philly-sports-port,South Philadelphia Sports / Port field,event_port_auto_service_field,7,4,multi_brand_qsr_corridor,3,2,multi_brand_auto_service_corridor,6,3,multi_brand_car_trip_corridor,combined_car_oriented_retail_corridor
philadelphia,university-city-30th-street,University City / 30th Street field,eds_meds_rail_service_field,2,2,qsr_service_node,0,0,checked_absent,6,3,multi_brand_car_trip_corridor,gas_car_trip_corridor_food_light
