metro,Seattle-Tacoma-Bellevue WA
total_stores,197

brand,stores
Advance Auto Parts,15
AutoZone,50
NAPA Auto Parts,43
O'Reilly Auto Parts,89

county_geoid,county_name,leader,leader_stores,total_stores,status
53033,King County,O'Reilly Auto Parts,42,91,contested
53053,Pierce County,O'Reilly Auto Parts,25,55,contested
53061,Snohomish County,O'Reilly Auto Parts,22,51,contested

brand,store_id,city,county_name,nearest_brand,nearest_store_id,nearest_city,nearest_county_name,distance_miles
AutoZone,22bbf11f-45c2-4340-b9dc-8a033f1bfef7,Lake Stevens,Snohomish County,Advance Auto Parts,6a28b73c-b3f8-4ada-a50f-a9aefcde4301,Lake Stevens,Snohomish County,0.11
Advance Auto Parts,6a28b73c-b3f8-4ada-a50f-a9aefcde4301,Lake Stevens,Snohomish County,AutoZone,22bbf11f-45c2-4340-b9dc-8a033f1bfef7,Lake Stevens,Snohomish County,0.11
NAPA Auto Parts,1e1527f2-b5a5-4788-a25d-88e5fc73dd1c,Enumclaw,King County,AutoZone,3b2f1b08-5ca7-4d5e-96c1-fda3bc64a9f0,Enumclaw,King County,0.11
AutoZone,3b2f1b08-5ca7-4d5e-96c1-fda3bc64a9f0,Enumclaw,King County,NAPA Auto Parts,1e1527f2-b5a5-4788-a25d-88e5fc73dd1c,Enumclaw,King County,0.11
AutoZone,31fa5b11-205b-4602-ba42-3d9b892907d3,Everett,Snohomish County,O'Reilly Auto Parts,3e42a097-62a8-4f90-bfd2-d48b9df36f21,Everett,Snohomish County,0.12
O'Reilly Auto Parts,3e42a097-62a8-4f90-bfd2-d48b9df36f21,Everett,Snohomish County,AutoZone,31fa5b11-205b-4602-ba42-3d9b892907d3,Everett,Snohomish County,0.12
O'Reilly Auto Parts,622354c9-1dd5-4ca5-998b-040d7cbb1f55,Granite Falls,Snohomish County,NAPA Auto Parts,6ea364a1-1162-4065-a7fe-9ea970817ce6,Granite Falls,Snohomish County,0.13
NAPA Auto Parts,6ea364a1-1162-4065-a7fe-9ea970817ce6,Granite Falls,Snohomish County,O'Reilly Auto Parts,622354c9-1dd5-4ca5-998b-040d7cbb1f55,Granite Falls,Snohomish County,0.13
NAPA Auto Parts,4cafb7d3-cb3e-4cb6-979b-fd5748d7bbb2,Burien,King County,AutoZone,9b951270-cd1a-4219-8814-bb75f4a17a6e,Burien,King County,0.13
AutoZone,9b951270-cd1a-4219-8814-bb75f4a17a6e,Burien,King County,NAPA Auto Parts,4cafb7d3-cb3e-4cb6-979b-fd5748d7bbb2,Burien,King County,0.13
AutoZone,bf7dcfd0-d221-4e79-b0b0-5c072c7ca612,Lynnwood,Snohomish County,O'Reilly Auto Parts,d5ff2b53-a106-49fb-bd6e-14aa4678c78b,Lynnwood,Snohomish County,0.13
O'Reilly Auto Parts,d5ff2b53-a106-49fb-bd6e-14aa4678c78b,Lynnwood,Snohomish County,AutoZone,bf7dcfd0-d221-4e79-b0b0-5c072c7ca612,Lynnwood,Snohomish County,0.13
O'Reilly Auto Parts,78d04297-b364-40f7-94d2-b87330a2de0e,Enumclaw,King County,AutoZone,3b2f1b08-5ca7-4d5e-96c1-fda3bc64a9f0,Enumclaw,King County,0.13
O'Reilly Auto Parts,fbaf29bd-0bb2-4da7-b0d4-dae4b2767bc0,Lake Stevens,Snohomish County,AutoZone,22bbf11f-45c2-4340-b9dc-8a033f1bfef7,Lake Stevens,Snohomish County,0.14
AutoZone,cfca72a4-6ff4-4e53-ba5a-943a0a297168,Puyallup,Pierce County,O'Reilly Auto Parts,dcfffb58-3bd0-411b-9551-ee73f4ab194e,Puyallup,Pierce County,0.15
O'Reilly Auto Parts,dcfffb58-3bd0-411b-9551-ee73f4ab194e,Puyallup,Pierce County,AutoZone,cfca72a4-6ff4-4e53-ba5a-943a0a297168,Puyallup,Pierce County,0.15
O'Reilly Auto Parts,5039588f-ba10-4460-b522-2520f4b8182a,Lakewood,Pierce County,NAPA Auto Parts,57fe550c-57ad-41f0-a56b-ec04cfdd5f05,Tacoma,Pierce County,0.15
NAPA Auto Parts,57fe550c-57ad-41f0-a56b-ec04cfdd5f05,Tacoma,Pierce County,O'Reilly Auto Parts,5039588f-ba10-4460-b522-2520f4b8182a,Lakewood,Pierce County,0.15
NAPA Auto Parts,7f76ef19-75b1-4630-ae51-f9bc2dcb6a02,Seatac,King County,AutoZone,ec13e0d9-4d90-436b-b80f-8ff5f4635cf8,Seatac,King County,0.16
Advance Auto Parts,3be04b0d-0d5a-4465-96bc-fc0267eff3fe,Tacoma,Pierce County,O'Reilly Auto Parts,607c524a-36fe-4643-9c20-29e4d609a6b9,Tacoma,Pierce County,0.16
O'Reilly Auto Parts,607c524a-36fe-4643-9c20-29e4d609a6b9,Tacoma,Pierce County,Advance Auto Parts,3be04b0d-0d5a-4465-96bc-fc0267eff3fe,Tacoma,Pierce County,0.16
AutoZone,22b23f72-8101-43ab-a437-ffa3bc390e7b,Renton,King County,O'Reilly Auto Parts,5c4c3f1d-623a-4c29-84d9-38a28bc8454f,Renton,King County,0.17
O'Reilly Auto Parts,5c4c3f1d-623a-4c29-84d9-38a28bc8454f,Renton,King County,AutoZone,22b23f72-8101-43ab-a437-ffa3bc390e7b,Renton,King County,0.17
AutoZone,5af6306e-eb3f-4507-9261-54d74c7c5e10,Arlington,Snohomish County,O'Reilly Auto Parts,874687e0-9048-4dc1-a8a5-2a629f97bab8,Arlington,Snohomish County,0.17
O'Reilly Auto Parts,874687e0-9048-4dc1-a8a5-2a629f97bab8,Arlington,Snohomish County,AutoZone,5af6306e-eb3f-4507-9261-54d74c7c5e10,Arlington,Snohomish County,0.17
O'Reilly Auto Parts,ba7f48af-bfb0-4121-b33d-7bd0522b8585,Renton,King County,AutoZone,bc44e439-4585-4e71-9c0d-88ed8894056a,Renton,King County,0.19
AutoZone,bc44e439-4585-4e71-9c0d-88ed8894056a,Renton,King County,O'Reilly Auto Parts,ba7f48af-bfb0-4121-b33d-7bd0522b8585,Renton,King County,0.19
AutoZone,e4a2938c-fb1b-4b1c-bd5e-3697ad352cde,Lynnwood,Snohomish County,O'Reilly Auto Parts,e6fd4548-b507-410d-9924-ff40a6dce84d,Lynnwood,Snohomish County,0.20
O'Reilly Auto Parts,e6fd4548-b507-410d-9924-ff40a6dce84d,Lynnwood,Snohomish County,AutoZone,e4a2938c-fb1b-4b1c-bd5e-3697ad352cde,Lynnwood,Snohomish County,0.20
Advance Auto Parts,02de93aa-2f02-497f-ae91-ab53946e9720,Lakewood,Pierce County,O'Reilly Auto Parts,6488b6de-14d9-49ca-8618-78fcf2f19884,Lakewood,Pierce County,0.20
O'Reilly Auto Parts,6488b6de-14d9-49ca-8618-78fcf2f19884,Lakewood,Pierce County,Advance Auto Parts,02de93aa-2f02-497f-ae91-ab53946e9720,Lakewood,Pierce County,0.20
Advance Auto Parts,4f7e27da-edf6-4fb4-8d7e-ad3b720f16df,Kent,King County,AutoZone,620bbcc1-7b47-4145-87a7-7c267ec1ecde,Kent,King County,0.21
AutoZone,620bbcc1-7b47-4145-87a7-7c267ec1ecde,Kent,King County,Advance Auto Parts,4f7e27da-edf6-4fb4-8d7e-ad3b720f16df,Kent,King County,0.21
O'Reilly Auto Parts,25f30ae8-668f-4d81-9b01-454761b30cb7,Tacoma,Pierce County,Advance Auto Parts,85e15090-8c82-444e-878f-9cf445fa9cf0,Parkland,Pierce County,0.22
Advance Auto Parts,85e15090-8c82-444e-878f-9cf445fa9cf0,Parkland,Pierce County,O'Reilly Auto Parts,25f30ae8-668f-4d81-9b01-454761b30cb7,Tacoma,Pierce County,0.22
O'Reilly Auto Parts,815e7e3e-3751-4ccf-8035-b3ee692f5486,Gig Harbor,Pierce County,AutoZone,e69a4860-6f90-40f8-a236-163a5603d497,Gig Harbor,Pierce County,0.22
AutoZone,e69a4860-6f90-40f8-a236-163a5603d497,Gig Harbor,Pierce County,O'Reilly Auto Parts,815e7e3e-3751-4ccf-8035-b3ee692f5486,Gig Harbor,Pierce County,0.22
NAPA Auto Parts,3e503fac-ac30-449e-8569-857ca9a9b051,Tacoma,Pierce County,O'Reilly Auto Parts,67c7eab6-2060-4adc-a8ec-b2638e4074f2,Tacoma,Pierce County,0.24
O'Reilly Auto Parts,67c7eab6-2060-4adc-a8ec-b2638e4074f2,Tacoma,Pierce County,NAPA Auto Parts,3e503fac-ac30-449e-8569-857ca9a9b051,Tacoma,Pierce County,0.24
O'Reilly Auto Parts,1d7126c0-93f9-4c6b-9403-d5d969e37abe,Seattle,King County,AutoZone,282f9b9e-cad6-4936-86c0-b86d5bde6cff,Seattle,King County,0.25
AutoZone,282f9b9e-cad6-4936-86c0-b86d5bde6cff,Seattle,King County,O'Reilly Auto Parts,1d7126c0-93f9-4c6b-9403-d5d969e37abe,Seattle,King County,0.25
O'Reilly Auto Parts,5320c482-0654-4db7-bb61-f0c5a34bf7b2,Kirkland,King County,AutoZone,268f104f-4464-459f-9b7a-c36a7eda9ea4,Kirkland,King County,0.26
NAPA Auto Parts,4a493e71-2ce3-49fd-9d8b-cc7c7c48df64,Federal Way,King County,Advance Auto Parts,e2f3b241-099b-4ac9-8084-57497e5a333c,Federal Way,King County,0.26
Advance Auto Parts,e2f3b241-099b-4ac9-8084-57497e5a333c,Federal Way,King County,NAPA Auto Parts,4a493e71-2ce3-49fd-9d8b-cc7c7c48df64,Federal Way,King County,0.26
Advance Auto Parts,34eb5bfe-c4de-4ae3-a581-a6906fb01ef2,Snohomish,Snohomish County,O'Reilly Auto Parts,e110c049-5d2f-4860-b1e2-3554e03c3d16,Snohomish,Snohomish County,0.26
O'Reilly Auto Parts,e110c049-5d2f-4860-b1e2-3554e03c3d16,Snohomish,Snohomish County,Advance Auto Parts,34eb5bfe-c4de-4ae3-a581-a6906fb01ef2,Snohomish,Snohomish County,0.26
