county_geoid,county_name,cbsa_code,cbsa_title,cbsa_type,csa_code,csa_title,central_outlying,metro_context_status,relationship_source,relationship_vintage
13291,Union County,,Non-CBSA Georgia county,Non-CBSA,,,,non_cbsa,Census July 2023 CBSA delineation file,2023-07
13293,Upson County,45580,Thomaston GA,Micropolitan Statistical Area,122,Atlanta--Athens-Clarke County--Sandy Springs GA-AL,unknown,cbsa,Census July 2023 CBSA delineation file,2023-07
13295,Walker County,16860,Chattanooga TN-GA,Metropolitan Statistical Area,174,Chattanooga-Cleveland-Dalton TN-GA-AL,unknown,cbsa,Census July 2023 CBSA delineation file,2023-07
13297,Walton County,12060,Atlanta-Sandy Springs-Roswell GA,Metropolitan Statistical Area,122,Atlanta--Athens-Clarke County--Sandy Springs GA-AL,unknown,cbsa,Census July 2023 CBSA delineation file,2023-07
13299,Ware County,48180,Waycross GA,Micropolitan Statistical Area,,,unknown,cbsa,Census July 2023 CBSA delineation file,2023-07
13303,Washington County,,Non-CBSA Georgia county,Non-CBSA,,,,non_cbsa,Census July 2023 CBSA delineation file,2023-07
13305,Wayne County,27700,Jesup GA,Micropolitan Statistical Area,496,Savannah-Hinesville-Statesboro GA,unknown,cbsa,Census July 2023 CBSA delineation file,2023-07
13311,White County,,Non-CBSA Georgia county,Non-CBSA,,,,non_cbsa,Census July 2023 CBSA delineation file,2023-07
13313,Whitfield County,19140,Dalton GA,Metropolitan Statistical Area,174,Chattanooga-Cleveland-Dalton TN-GA-AL,unknown,cbsa,Census July 2023 CBSA delineation file,2023-07
13317,Wilkes County,,Non-CBSA Georgia county,Non-CBSA,,,,non_cbsa,Census July 2023 CBSA delineation file,2023-07
13321,Worth County,10500,Albany GA,Metropolitan Statistical Area,,,unknown,cbsa,Census July 2023 CBSA delineation file,2023-07
