brand,store_id,store_name,address,city,state,postal_code,latitude,longitude,source,source_date,license_status
CVS Pharmacy,94f2bc4a-1840-4fe1-99c7-e4bf2a4d5547,CVS Pharmacy,130 State Route 35,Eatontown,NJ,07724-1814,40.296085357666016,-74.05449676513672,Overture Places 2026-07-22.0,2026-07-22,open
CVS Pharmacy,e502a17f-2750-405a-8e7e-303fe45294a4,CVS Pharmacy,65 River Rd,Edgewater,NJ,07020-1017,40.80438232421875,-73.99209594726562,Overture Places 2026-07-22.0,2026-07-22,open
CVS Pharmacy,ee239b48-1f81-4924-b06d-5c226ed78c95,CVS Pharmacy,1133 Inman Ave,Edison,NJ,08820-1282,40.596588134765625,-74.36580657958984,Overture Places 2026-07-22.0,2026-07-22,open
CVS Pharmacy,b11fbc5f-45af-4ad4-a276-53e85f799498,Omnicare,120 Fieldcrest Ave,Edison,NJ,08837-3656,40.51729965209961,-74.34342193603516,Overture Places 2026-07-22.0,2026-07-22,open
CVS Pharmacy,8d3c7395-624d-4c44-b8ff-75ead0ddb37a,CVS Pharmacy,8 Eden Ave,Edison,NJ,08817-3856,40.5086784362793,-74.3924331665039,Overture Places 2026-07-22.0,2026-07-22,open
CVS Pharmacy,f3d8e6db-45f8-4d1e-a10d-5346fa42084f,CVS Pharmacy,6103 W Jersey Ave,Egg Harbor Twp,NJ,08234-5249,39.41928482055664,-74.6178970336914,Overture Places 2026-07-22.0,2026-07-22,open
CVS Pharmacy,429facfd-451f-4912-aed5-1ed5f010ff97,CVS Beauty,6815 Tilton Rd,Egg Harbor Twp,NJ,08234-4488,39.3913688659668,-74.5596923828125,Overture Places 2026-07-22.0,2026-07-22,open
CVS Pharmacy,a77312c2-56c9-41a1-a7ac-b19f1197d20f,CVS Pharmacy,214 Rahway Ave,Elizabeth,NJ,07202,40.6591911315918,-74.22160339355469,Overture Places 2026-07-22.0,2026-07-22,open
CVS Pharmacy,a1a0c6b0-b38f-49f6-bd76-9f31ee41438d,CVS Pharmacy,430 Westfield Ave,Elizabeth,NJ,07208-1621,40.666038513183594,-74.23013305664062,Overture Places 2026-07-22.0,2026-07-22,open
CVS Pharmacy,42f9b9f8-ca50-4a98-a45a-1785e6af9227,CVS Pharmacy,449 Market St,Elmwood Park,NJ,07407-3104,40.89918899536133,-74.1113510131836,Overture Places 2026-07-22.0,2026-07-22,open
CVS Pharmacy,eaf8cd5e-b4b1-4418-a72d-01887511d4a7,CVS Pharmacy,10 W Palisade Ave,Englewood,NJ,07631-2709,40.8942985534668,-73.97584533691406,Overture Places 2026-07-22.0,2026-07-22,open
CVS Pharmacy,d1c9f5fb-f07d-4294-80e2-6b75f764909e,CVS Pharmacy,1320 Parkway Ave,Ewing Twp,NJ,08628-3009,40.26471710205078,-74.80272674560547,Overture Places 2026-07-22.0,2026-07-22,open
CVS Pharmacy,7b55bf13-0469-4fb2-9774-c613e825421a,CVS Pharmacy,1618 N Olden Ave,Ewing Twp,NJ,08638-3206,40.24467086791992,-74.75892639160156,Overture Places 2026-07-22.0,2026-07-22,open
CVS Pharmacy,84c4198d-be83-4e43-99a1-97ffa85e306f,CVS Pharmacy,18-35 River Rd,Fair Lawn,NJ,07410-1244,40.94046401977539,-74.14176940917969,Overture Places 2026-07-22.0,2026-07-22,open
CVS Pharmacy,77c9a304-d8b9-417e-b8d7-e90e08389f3b,CVS Pharmacy,24-12 Fair Lawn Ave,Fair Lawn,NJ,07410-3401,40.93930435180664,-74.11858367919922,Overture Places 2026-07-22.0,2026-07-22,open
CVS Pharmacy,cb9b5045-7f27-4c68-8d8e-4d13f5b89c82,Minute Clinic,24-12 Fair Lawn Ave,Fair Lawn,NJ,07410-3401,40.939056396484375,-74.11907196044922,Overture Places 2026-07-22.0,2026-07-22,open
CVS Pharmacy,8e491846-1323-4f34-9637-c1708c8db0fa,CVS Pharmacy,29-00 Broadway,Fair Lawn,NJ,07410-3912,40.9238395690918,-74.10665130615234,Overture Places 2026-07-22.0,2026-07-22,open
CVS Pharmacy,856c2b9d-559a-4ed9-9ae1-58003947252e,CVS Pharmacy,190 State Route 31,Flemington,NJ,08822-5763,40.53190612792969,-74.85639953613281,Overture Places 2026-07-22.0,2026-07-22,open
CVS Pharmacy,0db83e30-57c0-4054-82de-576a4ab2b5dd,CVS Pharmacy,CVS Store Details,Flemington,NJ,202,40.5050163269043,-74.85018157958984,Overture Places 2026-07-22.0,2026-07-22,open
CVS Pharmacy,6fab6f50-21d8-4865-8853-5b28f1411b5f,CVS Pharmacy,165 Main St,Fort Lee,NJ,07024-6941,40.85120391845703,-73.9686050415039,Overture Places 2026-07-22.0,2026-07-22,open
