brand,store_id,store_name,address,city,state,postal_code,latitude,longitude,source,source_date,license_status,review_status,review_reason
Retail Center,65486829-7556-4c9b-b051-500d94df0c04,Loyola Center For Health Oak Brook Terrace,1S 244 Summit Ave,Oakbrook Terrace,IL,60181,41.85575866699219,-87.9738998413086,Overture Places 2026-07-22.0,2026-07-22,open,exclude,duplicate_candidate
Retail Center,e04b51bc-93bf-4a51-83ee-b2687363471d,Loyola Center for Children's Health at Oakbrook Terrace,1S224 Summit Ave Ste 101,Oakbrook Terrace,IL,60181,41.85580825805664,-87.9740219116211,Overture Places 2026-07-22.0,2026-07-22,open,exclude,duplicate_candidate
Retail Center,ef4d7a62-b0fd-409d-8b89-43d08830342c,Oak Brook Terrace Nature Center,17W240 22nd St,Oakbrook Terrace,IL,60181-4430,41.849239349365234,-87.9594497680664,Overture Places 2026-07-22.0,2026-07-22,open,exclude,duplicate_candidate
Retail Center,e2b193e8-7667-43e3-81ed-26bf8492c841,Oakbrook Financial Center,1 Transam Plaza Dr,Oakbrook Terrace,IL,60181-4282,41.84823226928711,-87.98578643798828,Overture Places 2026-07-22.0,2026-07-22,open,exclude,duplicate_candidate
Retail Center,bbcd8f1f-39a7-46f0-86ab-0f8c6728e096,Oakbrook Terrace Arthur Murray Dance Center,1915 S Meyers Rd,Oakbrook Terrace,IL,60181-5200,41.8465690612793,-87.99132537841797,Overture Places 2026-07-22.0,2026-07-22,open,exclude,duplicate_candidate
Retail Center,bf6f0800-13ce-4757-b619-93d8983bad1e,Oakbrook Terrace Corporate Center,1815 S Meyers Rd,Oakbrook Terrace,IL,60181-5203,41.848228454589844,-87.9903564453125,Overture Places 2026-07-22.0,2026-07-22,open,exclude,duplicate_candidate
Retail Center,f59ff101-0e32-4dbf-8eae-092f21165c5e,Oakbrook Terrace Corps Community Center (Service Extension),Service Area: Oak Brook Oakbrook Terrace Villa Park 1 S. 415 Summit,Oakbrook Terrace,IL,60181,41.854251861572266,-87.9723129272461,Overture Places 2026-07-22.0,2026-07-22,open,exclude,duplicate_candidate
Retail Center,9fb48a03-2390-4603-b63c-09c55a134228,Oakbrook Terrace Fitness Center,1 Parkview Dr,Oakbrook Terrace,IL,60181,41.84709930419922,-87.95990753173828,Overture Places 2026-07-22.0,2026-07-22,open,exclude,duplicate_candidate
Retail Center,83b6ad65-c69e-4803-89b8-47562f4ee286,Oakbrook Terrace Imaging Center,1S260 Summit Ave,Oakbrook Terrace,IL,60181-3941,41.855777740478516,-87.9740982055664,Overture Places 2026-07-22.0,2026-07-22,open,exclude,duplicate_candidate
Retail Center,f48d9092-2008-4619-9f10-28f5f554a89b,Oakbrook Terrace Medical Center,1S210 Summit Ave,Oakbrook Terrace,IL,60181,41.84736633300781,-87.97296142578125,Overture Places 2026-07-22.0,2026-07-22,open,exclude,duplicate_candidate
Retail Center,8e2e2144-4cc1-4b12-94ac-3ae0300354bc,Ssa Hearings & Appeals Center,1 Oakbrook Ter,Oakbrook Terrace,IL,60181-4438,41.84690475463867,-87.98082733154297,Overture Places 2026-07-22.0,2026-07-22,open,exclude,duplicate_candidate
Mall,9d05fd9a-3994-4aa2-abc2-53b509885457,Clark Street Sports - Orland Square Mall,100 Orland Square Dr,Orland Park,IL,60462,41.62066650390625,-87.84916687011719,Overture Places 2026-07-22.0,2026-07-22,open,exclude,duplicate_candidate
Mall,bd62925d-723c-446f-b559-052ac009e6ee,Icy Whites - Orland Park Mall,288 Orland Square Dr,Orland Park,IL,60462-3211,41.619869232177734,-87.84783172607422,Overture Places 2026-07-22.0,2026-07-22,open,exclude,duplicate_candidate
Mall,0b670213-9387-42be-ad26-fbfae1092951,Orland Park Mall East Parking Lot,3 Orland Square Dr,Orland Park,IL,60462-3296,41.619422912597656,-87.84524536132812,Overture Places 2026-07-22.0,2026-07-22,open,exclude,duplicate_candidate
Mall,a4621a1c-b2e9-4a77-80e4-3c232f0ff29a,Orland Square Mall,534 Orland Square Dr,Orland Park,IL,60462-3217,41.619449615478516,-87.84781646728516,Overture Places 2026-07-22.0,2026-07-22,open,packet_ready,primary_store_candidate
Mall,0a149c00-e9a3-4b22-9186-8b22eebac4c0,Talk N Fix / Street Talk Orland Square Mall,288 Orland Square Dr,Orland Park,IL,60462-3211,41.619869232177734,-87.84783172607422,Overture Places 2026-07-22.0,2026-07-22,open,exclude,duplicate_candidate
Retail Center,c9972149-e928-44d1-b183-fc95e1cbd6dd,Lymphedema-Oncology Rehab Center ,82 Orland Square Dr,Orland Park,IL,60462-3207,41.6200065612793,-87.84371185302734,Overture Places 2026-07-22.0,2026-07-22,open,exclude,duplicate_candidate
Retail Center,3c9d4688-e69b-4f2e-90b3-007a1c642e07,NOVA Scholars Tutoring Center,64 Orland Square Dr,Orland Park,IL,60462-3284,41.616546630859375,-87.8439712524414,Overture Places 2026-07-22.0,2026-07-22,open,exclude,duplicate_candidate
