target_id,target_label,anchor_field,facility_type,facility_id,facility_name,operator,street_address,city,state,postal_code,latitude,longitude,source,source_date,license_status,rights_status,review_status,review_reason
national-post-office-hi-aina-haina-25f05ecf40,Aina Haina post-office-centered national sample candidate,national_post_office_sample_candidate,laundromat,osm:node:7579377991,Alphim’s Dry Cleaner,,,Aina Haina,HI,,21.2782125,-157.7888099,Geofabrik OpenStreetMap GeoPackage extract,2026-08-14T20:21:03Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_laundromat
national-post-office-hi-fedex-c4048ca71c,FedEx post-office-centered national sample candidate,national_post_office_sample_candidate,laundromat,osm:way:770825478,Big Island Dry Cleaners,,,FedEx,HI,,19.7073781,-155.0756622,Geofabrik OpenStreetMap GeoPackage extract,2026-08-14T20:21:03Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_laundromat
national-post-office-hi-fedex-c4048ca71c,FedEx post-office-centered national sample candidate,national_post_office_sample_candidate,laundromat,osm:node:7961385452,Downtown Laundry Express,,,FedEx,HI,,19.7215088,-155.0857166,Geofabrik OpenStreetMap GeoPackage extract,2026-08-14T20:21:03Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_laundromat
national-post-office-hi-fedex-c4048ca71c,FedEx post-office-centered national sample candidate,national_post_office_sample_candidate,laundromat,osm:node:5175252721,Kandi’s Laundromat,,,FedEx,HI,,19.6847924,-155.0697350,Geofabrik OpenStreetMap GeoPackage extract,2026-08-14T20:21:03Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_laundromat
national-post-office-hi-fedex-c4048ca71c,FedEx post-office-centered national sample candidate,national_post_office_sample_candidate,laundromat,osm:way:770825476,Tyke’s Laudromat,,,FedEx,HI,,19.7075373,-155.0758806,Geofabrik OpenStreetMap GeoPackage extract,2026-08-14T20:21:03Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_laundromat
national-post-office-hi-fedex-office-5b5e62b74d,FedEx Office post-office-centered national sample candidate,national_post_office_sample_candidate,laundromat,osm:node:12432867963,Aloha Dry Cleaners and Laundry,,,FedEx Office,HI,,21.3795905,-158.0172291,Geofabrik OpenStreetMap GeoPackage extract,2026-08-14T20:21:03Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_laundromat
national-post-office-hi-fedex-office-5b5e62b74d,FedEx Office post-office-centered national sample candidate,national_post_office_sample_candidate,laundromat,osm:node:8958605520,Hakuyosha Clean Living,,,FedEx Office,HI,,21.3901603,-157.9520533,Geofabrik OpenStreetMap GeoPackage extract,2026-08-14T20:21:03Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_laundromat
national-post-office-hi-fedex-office-d898801937,FedEx Office post-office-centered national sample candidate,national_post_office_sample_candidate,laundromat,osm:node:9725280724,,,,FedEx Office,HI,,21.2867451,-157.8332762,Geofabrik OpenStreetMap GeoPackage extract,2026-08-14T20:21:03Z,open,ODbL; attribution and share-alike required,exclude,unnamed_household_service_anchor
national-post-office-hi-fedex-office-d898801937,FedEx Office post-office-centered national sample candidate,national_post_office_sample_candidate,laundromat,osm:node:4895133791,Hakuyosha Clean Living,,,FedEx Office,HI,,21.3195934,-157.8611860,Geofabrik OpenStreetMap GeoPackage extract,2026-08-14T20:21:03Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_laundromat
national-post-office-hi-fedex-office-d898801937,FedEx Office post-office-centered national sample candidate,national_post_office_sample_candidate,laundromat,osm:node:12554819904,Hakuyosha Dry Cleaners,,,FedEx Office,HI,,21.3003928,-157.8434886,Geofabrik OpenStreetMap GeoPackage extract,2026-08-14T20:21:03Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_laundromat
national-post-office-hi-fedex-office-d898801937,FedEx Office post-office-centered national sample candidate,national_post_office_sample_candidate,laundromat,osm:node:4226130089,Kapahulu Xpress Laundromat,,,FedEx Office,HI,,21.2787442,-157.8134190,Geofabrik OpenStreetMap GeoPackage extract,2026-08-14T20:21:03Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_laundromat
national-post-office-hi-fedex-office-d898801937,FedEx Office post-office-centered national sample candidate,national_post_office_sample_candidate,laundromat,osm:node:4266832194,Nuuanu Laundry,,,FedEx Office,HI,,21.3170337,-157.8551580,Geofabrik OpenStreetMap GeoPackage extract,2026-08-14T20:21:03Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_laundromat
national-post-office-hi-fedex-office-d898801937,FedEx Office post-office-centered national sample candidate,national_post_office_sample_candidate,laundromat,osm:node:9602103776,United Laundry Services,,,FedEx Office,HI,,21.3295756,-157.8894472,Geofabrik OpenStreetMap GeoPackage extract,2026-08-14T20:21:03Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_laundromat
national-post-office-hi-fedex-office-d898801937,FedEx Office post-office-centered national sample candidate,national_post_office_sample_candidate,laundromat,osm:node:6397359985,Waikiki Laundromat,,,FedEx Office,HI,,21.2760006,-157.8233806,Geofabrik OpenStreetMap GeoPackage extract,2026-08-14T20:21:03Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_laundromat
national-post-office-hi-fedex-office-d898801937,FedEx Office post-office-centered national sample candidate,national_post_office_sample_candidate,laundromat,osm:node:4571725489,iDo Laundry,,,FedEx Office,HI,,21.2780512,-157.8248970,Geofabrik OpenStreetMap GeoPackage extract,2026-08-14T20:21:03Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_laundromat
national-post-office-hi-fedex-ship-center-db01140995,FedEx Ship Center post-office-centered national sample candidate,national_post_office_sample_candidate,laundromat,osm:node:12740349149,Salt Lake Laundry,,,FedEx Ship Center,HI,,21.3448371,-157.9138599,Geofabrik OpenStreetMap GeoPackage extract,2026-08-14T20:21:03Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_laundromat
national-post-office-hi-fedex-ship-center-db01140995,FedEx Ship Center post-office-centered national sample candidate,national_post_office_sample_candidate,laundromat,osm:node:9602103776,United Laundry Services,,,FedEx Ship Center,HI,,21.3295756,-157.8894472,Geofabrik OpenStreetMap GeoPackage extract,2026-08-14T20:21:03Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_laundromat
national-post-office-hi-hawaii-kai-station-35e19a89d6,Hawaii Kai Station post-office-centered national sample candidate,national_post_office_sample_candidate,laundromat,osm:node:7661827907,Hakuyosha Clean Living,,,Hawaii Kai Station,HI,,21.2856023,-157.7071225,Geofabrik OpenStreetMap GeoPackage extract,2026-08-14T20:21:03Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_laundromat
