target_id,target_label,anchor_field,facility_type,facility_id,facility_name,operator,street_address,city,state,postal_code,latitude,longitude,source,source_date,license_status,rights_status,review_status,review_reason
national-post-office-hi-aina-haina-25f05ecf40,Aina Haina post-office-centered national sample candidate,national_post_office_sample_candidate,hardware,osm:way:144677155,City Mill,,,Aina Haina,HI,,21.2834581,-157.7125569,Geofabrik OpenStreetMap GeoPackage extract,2026-08-14T20:21:03Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_hardware
national-post-office-hi-fedex-89c3ba0615,FedEx post-office-centered national sample candidate,national_post_office_sample_candidate,hardware,osm:way:113186873,The Home Depot,,,FedEx,HI,,21.3169716,-157.8732218,Geofabrik OpenStreetMap GeoPackage extract,2026-08-14T20:21:03Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_hardware
national-post-office-hi-fedex-89c3ba0615,FedEx post-office-centered national sample candidate,national_post_office_sample_candidate,hardware,osm:node:5616138223,Wisteria Lane,,,FedEx,HI,,21.3190140,-157.8735580,Geofabrik OpenStreetMap GeoPackage extract,2026-08-14T20:21:03Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_hardware
national-post-office-hi-fedex-c4048ca71c,FedEx post-office-centered national sample candidate,national_post_office_sample_candidate,hardware,osm:node:9976037317,Ace Hardware,,,FedEx,HI,,19.7057229,-155.0632209,Geofabrik OpenStreetMap GeoPackage extract,2026-08-14T20:21:03Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_hardware
national-post-office-hi-fedex-c4048ca71c,FedEx post-office-centered national sample candidate,national_post_office_sample_candidate,hardware,osm:way:303232009,Ace Hardware,,,FedEx,HI,,19.7185550,-155.0815302,Geofabrik OpenStreetMap GeoPackage extract,2026-08-14T20:21:03Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_hardware
national-post-office-hi-fedex-c4048ca71c,FedEx post-office-centered national sample candidate,national_post_office_sample_candidate,hardware,osm:node:5460596723,HPM Building Supply,,,FedEx,HI,,19.7178241,-155.0647571,Geofabrik OpenStreetMap GeoPackage extract,2026-08-14T20:21:03Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_hardware
national-post-office-hi-fedex-c4048ca71c,FedEx post-office-centered national sample candidate,national_post_office_sample_candidate,hardware,osm:way:262144020,The Home Depot,,,FedEx,HI,,19.6982673,-155.0592537,Geofabrik OpenStreetMap GeoPackage extract,2026-08-14T20:21:03Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_hardware
national-post-office-hi-fedex-office-5b5e62b74d,FedEx Office post-office-centered national sample candidate,national_post_office_sample_candidate,hardware,osm:node:5030867284,City Mill,,,FedEx Office,HI,,21.3896273,-157.9528419,Geofabrik OpenStreetMap GeoPackage extract,2026-08-14T20:21:03Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_hardware
national-post-office-hi-fedex-office-5b5e62b74d,FedEx Office post-office-centered national sample candidate,national_post_office_sample_candidate,hardware,osm:way:829593661,Lowe's,,,FedEx Office,HI,,21.3983586,-158.0090201,Geofabrik OpenStreetMap GeoPackage extract,2026-08-14T20:21:03Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_hardware
national-post-office-hi-fedex-office-5b5e62b74d,FedEx Office post-office-centered national sample candidate,national_post_office_sample_candidate,hardware,osm:way:1355883910,The Home Depot,,,FedEx Office,HI,,21.3950902,-157.9759582,Geofabrik OpenStreetMap GeoPackage extract,2026-08-14T20:21:03Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_hardware
national-post-office-hi-fedex-office-d898801937,FedEx Office post-office-centered national sample candidate,national_post_office_sample_candidate,hardware,osm:node:5616138027,C@C Cabinets Granite,,,FedEx Office,HI,,21.3189856,-157.8730027,Geofabrik OpenStreetMap GeoPackage extract,2026-08-14T20:21:03Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_hardware
national-post-office-hi-fedex-office-d898801937,FedEx Office post-office-centered national sample candidate,national_post_office_sample_candidate,hardware,osm:way:606174136,City Mill,,,FedEx Office,HI,,21.3144592,-157.8702847,Geofabrik OpenStreetMap GeoPackage extract,2026-08-14T20:21:03Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_hardware
national-post-office-hi-fedex-office-d898801937,FedEx Office post-office-centered national sample candidate,national_post_office_sample_candidate,hardware,osm:node:5616138028,Golden Cabinets and Stone,,,FedEx Office,HI,,21.3243156,-157.8746041,Geofabrik OpenStreetMap GeoPackage extract,2026-08-14T20:21:03Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_hardware
national-post-office-hi-fedex-office-d898801937,FedEx Office post-office-centered national sample candidate,national_post_office_sample_candidate,hardware,osm:way:806665384,Lowe's,,,FedEx Office,HI,,21.3155223,-157.8729644,Geofabrik OpenStreetMap GeoPackage extract,2026-08-14T20:21:03Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_hardware
national-post-office-hi-fedex-office-d898801937,FedEx Office post-office-centered national sample candidate,national_post_office_sample_candidate,hardware,osm:node:5616138026,Pacific Source,,,FedEx Office,HI,,21.3249943,-157.8904926,Geofabrik OpenStreetMap GeoPackage extract,2026-08-14T20:21:03Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_hardware
national-post-office-hi-fedex-office-d898801937,FedEx Office post-office-centered national sample candidate,national_post_office_sample_candidate,hardware,osm:way:113186873,The Home Depot,,,FedEx Office,HI,,21.3169716,-157.8732218,Geofabrik OpenStreetMap GeoPackage extract,2026-08-14T20:21:03Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_hardware
national-post-office-hi-fedex-office-d898801937,FedEx Office post-office-centered national sample candidate,national_post_office_sample_candidate,hardware,osm:node:5616138223,Wisteria Lane,,,FedEx Office,HI,,21.3190140,-157.8735580,Geofabrik OpenStreetMap GeoPackage extract,2026-08-14T20:21:03Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_hardware
national-post-office-hi-fedex-ship-center-db01140995,FedEx Ship Center post-office-centered national sample candidate,national_post_office_sample_candidate,hardware,osm:node:5616138027,C@C Cabinets Granite,,,FedEx Ship Center,HI,,21.3189856,-157.8730027,Geofabrik OpenStreetMap GeoPackage extract,2026-08-14T20:21:03Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_hardware
national-post-office-hi-fedex-ship-center-db01140995,FedEx Ship Center post-office-centered national sample candidate,national_post_office_sample_candidate,hardware,osm:node:5616138028,Golden Cabinets and Stone,,,FedEx Ship Center,HI,,21.3243156,-157.8746041,Geofabrik OpenStreetMap GeoPackage extract,2026-08-14T20:21:03Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_hardware
national-post-office-hi-fedex-ship-center-db01140995,FedEx Ship Center post-office-centered national sample candidate,national_post_office_sample_candidate,hardware,osm:way:806665384,Lowe's,,,FedEx Ship Center,HI,,21.3155223,-157.8729644,Geofabrik OpenStreetMap GeoPackage extract,2026-08-14T20:21:03Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_hardware
national-post-office-hi-fedex-ship-center-db01140995,FedEx Ship Center post-office-centered national sample candidate,national_post_office_sample_candidate,hardware,osm:node:5616138026,Pacific Source,,,FedEx Ship Center,HI,,21.3249943,-157.8904926,Geofabrik OpenStreetMap GeoPackage extract,2026-08-14T20:21:03Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_hardware
national-post-office-hi-fedex-ship-center-db01140995,FedEx Ship Center post-office-centered national sample candidate,national_post_office_sample_candidate,hardware,osm:way:113186873,The Home Depot,,,FedEx Ship Center,HI,,21.3169716,-157.8732218,Geofabrik OpenStreetMap GeoPackage extract,2026-08-14T20:21:03Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_hardware
national-post-office-hi-fedex-ship-center-db01140995,FedEx Ship Center post-office-centered national sample candidate,national_post_office_sample_candidate,hardware,osm:way:240893338,The Home Depot,,,FedEx Ship Center,HI,,21.3469802,-157.8958211,Geofabrik OpenStreetMap GeoPackage extract,2026-08-14T20:21:03Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_hardware
national-post-office-hi-fedex-ship-center-db01140995,FedEx Ship Center post-office-centered national sample candidate,national_post_office_sample_candidate,hardware,osm:node:5616138223,Wisteria Lane,,,FedEx Ship Center,HI,,21.3190140,-157.8735580,Geofabrik OpenStreetMap GeoPackage extract,2026-08-14T20:21:03Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_hardware
national-post-office-hi-hawaii-kai-station-35e19a89d6,Hawaii Kai Station post-office-centered national sample candidate,national_post_office_sample_candidate,hardware,osm:way:144677155,City Mill,,,Hawaii Kai Station,HI,,21.2834581,-157.7125569,Geofabrik OpenStreetMap GeoPackage extract,2026-08-14T20:21:03Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_hardware
national-post-office-hi-holualoa-792d6ec145,Holualoa post-office-centered national sample candidate,national_post_office_sample_candidate,hardware,osm:way:384072562,Lowe's,,,Holualoa,HI,,19.6458640,-155.9858278,Geofabrik OpenStreetMap GeoPackage extract,2026-08-14T20:21:03Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_hardware
