target_id,target_label,anchor_field,facility_type,facility_id,facility_name,operator,street_address,city,state,postal_code,latitude,longitude,source,source_date,license_status,rights_status,review_status,review_reason
il-third-pilot-albion,Albion third-state minimum postal parish candidate,third_state_minimum_postal_parish_candidate,food_service,osm:way/845230656,McDonald's,McDonald's,,Albion,IL,,38.3774398,-88.0597745,OpenStreetMap API 0.6 map,2026-08-15,open,ODbL; attribution and share-alike required,packet_ready,primary_civic_facility_candidate
il-third-pilot-fairbury,Fairbury third-state minimum postal parish candidate,third_state_minimum_postal_parish_candidate,food_service,osm:node/9859608736,Subway,Subway,108 East Oak Street,Fairbury,IL,61739,40.7440926,-88.5122562,OpenStreetMap API 0.6 map,2026-08-15,open,ODbL; attribution and share-alike required,packet_ready,primary_civic_facility_candidate
il-third-pilot-greenup,Greenup third-state minimum postal parish candidate,third_state_minimum_postal_parish_candidate,food_service,osm:node/12488344997,Naf Naf Grill,Naf Naf Grill,203 North Haughton Highway,Greenup,IL,62428,39.2530428,-88.1527814,OpenStreetMap API 0.6 map,2026-08-15,open,ODbL; attribution and share-alike required,packet_ready,primary_civic_facility_candidate
il-third-pilot-mount-carmel,Mount Carmel third-state minimum postal parish candidate,third_state_minimum_postal_parish_candidate,food_service,osm:node/7023172535,McDonald's,McDonald's,,Mount Carmel,IL,,38.4157125,-87.7635232,OpenStreetMap API 0.6 map,2026-08-15,open,ODbL; attribution and share-alike required,packet_ready,primary_civic_facility_candidate
il-third-pilot-virden,Virden third-state minimum postal parish candidate,third_state_minimum_postal_parish_candidate,food_service,osm:way/671982543,DQ Grill & Chill,Dairy Queen,1003 North Springfield Street,Virden,IL,62690-1029,39.5129104,-89.7678072,OpenStreetMap API 0.6 map,2026-08-15,open,ODbL; attribution and share-alike required,packet_ready,primary_civic_facility_candidate
il-third-pilot-virden,Virden third-state minimum postal parish candidate,third_state_minimum_postal_parish_candidate,food_service,osm:node/6381733157,Hardee's,Hardee's,905 North Springfield Street,Virden,IL,62690,39.5100033,-89.7677444,OpenStreetMap API 0.6 map,2026-08-15,open,ODbL; attribution and share-alike required,packet_ready,primary_civic_facility_candidate
il-third-pilot-virden,Virden third-state minimum postal parish candidate,third_state_minimum_postal_parish_candidate,food_service,osm:node/9655376561,Pudock's Hideout,,,Virden,IL,,39.5377334,-89.7609750,OpenStreetMap API 0.6 map,2026-08-15,open,ODbL; attribution and share-alike required,packet_ready,primary_civic_facility_candidate
il-third-pilot-winthrop-harbor,Winthrop Harbor third-state minimum postal parish candidate,third_state_minimum_postal_parish_candidate,food_service,osm:way/966780474,Burger King,Burger King,2213 Sheridan Road,Zion,IL,60099-2328,42.4551512,-87.8248139,OpenStreetMap API 0.6 map,2026-08-15,open,ODbL; attribution and share-alike required,packet_ready,primary_civic_facility_candidate
il-third-pilot-winthrop-harbor,Winthrop Harbor third-state minimum postal parish candidate,third_state_minimum_postal_parish_candidate,food_service,osm:way/967369654,CJ's Donuts,,,Winthrop Harbor,IL,,42.4528768,-87.8259764,OpenStreetMap API 0.6 map,2026-08-15,open,ODbL; attribution and share-alike required,packet_ready,primary_civic_facility_candidate
il-third-pilot-winthrop-harbor,Winthrop Harbor third-state minimum postal parish candidate,third_state_minimum_postal_parish_candidate,food_service,osm:way/967369643,CoCo's Cafe,,,Winthrop Harbor,IL,,42.4568810,-87.8265094,OpenStreetMap API 0.6 map,2026-08-15,open,ODbL; attribution and share-alike required,packet_ready,primary_civic_facility_candidate
il-third-pilot-winthrop-harbor,Winthrop Harbor third-state minimum postal parish candidate,third_state_minimum_postal_parish_candidate,food_service,osm:way/967368298,Domino's,Domino's,1200 19th Street,Zion,IL,60099,42.4610110,-87.8252819,OpenStreetMap API 0.6 map,2026-08-15,open,ODbL; attribution and share-alike required,packet_ready,primary_civic_facility_candidate
il-third-pilot-winthrop-harbor,Winthrop Harbor third-state minimum postal parish candidate,third_state_minimum_postal_parish_candidate,food_service,osm:node/1873959714,Droopy Dogs,,,Winthrop Harbor,IL,,42.4718626,-87.8246430,OpenStreetMap API 0.6 map,2026-08-15,open,ODbL; attribution and share-alike required,packet_ready,primary_civic_facility_candidate
il-third-pilot-winthrop-harbor,Winthrop Harbor third-state minimum postal parish candidate,third_state_minimum_postal_parish_candidate,food_service,osm:way/966780478,Dunkin',Dunkin',2101 Sheridan Road,Zion,IL,60099,42.4567551,-87.8247248,OpenStreetMap API 0.6 map,2026-08-15,open,ODbL; attribution and share-alike required,packet_ready,primary_civic_facility_candidate
il-third-pilot-winthrop-harbor,Winthrop Harbor third-state minimum postal parish candidate,third_state_minimum_postal_parish_candidate,food_service,osm:way/967369647,El Lago,,,Winthrop Harbor,IL,,42.4552980,-87.8258591,OpenStreetMap API 0.6 map,2026-08-15,open,ODbL; attribution and share-alike required,packet_ready,primary_civic_facility_candidate
il-third-pilot-winthrop-harbor,Winthrop Harbor third-state minimum postal parish candidate,third_state_minimum_postal_parish_candidate,food_service,osm:way/966766459,It's All Good,,,Winthrop Harbor,IL,,42.4446503,-87.8258924,OpenStreetMap API 0.6 map,2026-08-15,open,ODbL; attribution and share-alike required,packet_ready,primary_civic_facility_candidate
il-third-pilot-winthrop-harbor,Winthrop Harbor third-state minimum postal parish candidate,third_state_minimum_postal_parish_candidate,food_service,osm:way/966780466,KFC,KFC,2359 Sheridan Road,Zion,IL,60099,42.4524979,-87.8250477,OpenStreetMap API 0.6 map,2026-08-15,open,ODbL; attribution and share-alike required,packet_ready,primary_civic_facility_candidate
il-third-pilot-winthrop-harbor,Winthrop Harbor third-state minimum postal parish candidate,third_state_minimum_postal_parish_candidate,food_service,osm:way/967369653,Little Caesars,Little Caesars,2340 Sheridan Road,Zion,IL,60099,42.4531863,-87.8257844,OpenStreetMap API 0.6 map,2026-08-15,open,ODbL; attribution and share-alike required,packet_ready,primary_civic_facility_candidate
il-third-pilot-winthrop-harbor,Winthrop Harbor third-state minimum postal parish candidate,third_state_minimum_postal_parish_candidate,food_service,osm:way/967369639,McDonald's,McDonald's,2028 Sheridan Road,Zion,IL,60099-4119,42.4583185,-87.8256294,OpenStreetMap API 0.6 map,2026-08-15,open,ODbL; attribution and share-alike required,packet_ready,primary_civic_facility_candidate
il-third-pilot-winthrop-harbor,Winthrop Harbor third-state minimum postal parish candidate,third_state_minimum_postal_parish_candidate,food_service,osm:way/966788529,N&T's,,,Winthrop Harbor,IL,,42.4393488,-87.8251983,OpenStreetMap API 0.6 map,2026-08-15,open,ODbL; attribution and share-alike required,packet_ready,primary_civic_facility_candidate
il-third-pilot-winthrop-harbor,Winthrop Harbor third-state minimum postal parish candidate,third_state_minimum_postal_parish_candidate,food_service,osm:way/966776324,Pizza House,,,Winthrop Harbor,IL,,42.4519551,-87.8251813,OpenStreetMap API 0.6 map,2026-08-15,open,ODbL; attribution and share-alike required,packet_ready,primary_civic_facility_candidate
il-third-pilot-winthrop-harbor,Winthrop Harbor third-state minimum postal parish candidate,third_state_minimum_postal_parish_candidate,food_service,osm:node/482809920,Roma's Pizza and Pasta,,,Winthrop Harbor,IL,,42.4803701,-87.8229388,OpenStreetMap API 0.6 map,2026-08-15,open,ODbL; attribution and share-alike required,packet_ready,primary_civic_facility_candidate
il-third-pilot-winthrop-harbor,Winthrop Harbor third-state minimum postal parish candidate,third_state_minimum_postal_parish_candidate,food_service,osm:way/1076754742,Stone Creek Grill,,206 Sheridan Road,Winthrop Harbor,IL,60096,42.4902788,-87.8225876,OpenStreetMap API 0.6 map,2026-08-15,open,ODbL; attribution and share-alike required,packet_ready,primary_civic_facility_candidate
il-third-pilot-winthrop-harbor,Winthrop Harbor third-state minimum postal parish candidate,third_state_minimum_postal_parish_candidate,food_service,osm:node/486073934,Subway,Subway,644 North Sheridan Road,Winthrop Harbor,IL,60096,42.4827067,-87.8231533,OpenStreetMap API 0.6 map,2026-08-15,open,ODbL; attribution and share-alike required,packet_ready,primary_civic_facility_candidate
il-third-pilot-winthrop-harbor,Winthrop Harbor third-state minimum postal parish candidate,third_state_minimum_postal_parish_candidate,food_service,osm:way/730259877,Taco Bell,Taco Bell,1913 Sheridan Road,Zion,IL,60099,42.4598252,-87.8247405,OpenStreetMap API 0.6 map,2026-08-15,open,ODbL; attribution and share-alike required,packet_ready,primary_civic_facility_candidate
il-third-pilot-winthrop-harbor,Winthrop Harbor third-state minimum postal parish candidate,third_state_minimum_postal_parish_candidate,food_service,osm:way/417397646,The Tropics,,301 North Point Drive,Winthrop Harbor,IL,60096,42.4887670,-87.8041085,OpenStreetMap API 0.6 map,2026-08-15,open,ODbL; attribution and share-alike required,packet_ready,primary_civic_facility_candidate
il-third-pilot-winthrop-harbor,Winthrop Harbor third-state minimum postal parish candidate,third_state_minimum_postal_parish_candidate,food_service,osm:way/966770803,Whey Chai,,,Winthrop Harbor,IL,,42.4463899,-87.8251905,OpenStreetMap API 0.6 map,2026-08-15,open,ODbL; attribution and share-alike required,packet_ready,primary_civic_facility_candidate
il-third-pilot-winthrop-harbor,Winthrop Harbor third-state minimum postal parish candidate,third_state_minimum_postal_parish_candidate,food_service,osm:way/966780469,Zogo's,,,Winthrop Harbor,IL,,42.4534940,-87.8250998,OpenStreetMap API 0.6 map,2026-08-15,open,ODbL; attribution and share-alike required,packet_ready,primary_civic_facility_candidate
