target_id,target_label,anchor_field,facility_type,facility_id,facility_name,operator,street_address,city,state,postal_code,latitude,longitude,source,source_date,license_status,rights_status,review_status,review_reason
national-post-office-ca-postalannex-3d05afd908,PostalAnnex post-office-centered national sample candidate,national_post_office_sample_candidate,laundromat,osm:node:2600782826,Green Sky Cleaners,,,PostalAnnex,CA,,37.3770913,-122.0766170,Geofabrik OpenStreetMap GeoPackage extract,2026-08-16T00:08:49Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_laundromat
national-post-office-ca-postalannex-3d05afd908,PostalAnnex post-office-centered national sample candidate,national_post_office_sample_candidate,laundromat,osm:way:700252077,Launderland,,,PostalAnnex,CA,,37.4066799,-122.1115924,Geofabrik OpenStreetMap GeoPackage extract,2026-08-16T00:08:49Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_laundromat
national-post-office-ca-postalannex-3d05afd908,PostalAnnex post-office-centered national sample candidate,national_post_office_sample_candidate,laundromat,osm:way:663761719,Laundromat,,,PostalAnnex,CA,,37.3962156,-122.1010345,Geofabrik OpenStreetMap GeoPackage extract,2026-08-16T00:08:49Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_laundromat
national-post-office-ca-postalannex-3d05afd908,PostalAnnex post-office-centered national sample candidate,national_post_office_sample_candidate,laundromat,osm:node:2637088614,Los Altos Cleaners,,,PostalAnnex,CA,,37.3755350,-122.1161543,Geofabrik OpenStreetMap GeoPackage extract,2026-08-16T00:08:49Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_laundromat
national-post-office-ca-postalannex-3d05afd908,PostalAnnex post-office-centered national sample candidate,national_post_office_sample_candidate,laundromat,osm:node:2161938311,Martha's Laundromat,,,PostalAnnex,CA,,37.3841106,-122.0810593,Geofabrik OpenStreetMap GeoPackage extract,2026-08-16T00:08:49Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_laundromat
national-post-office-ca-postalannex-3d05afd908,PostalAnnex post-office-centered national sample candidate,national_post_office_sample_candidate,laundromat,osm:node:1318029641,Nature's Best Cleaners,,,PostalAnnex,CA,,37.3755326,-122.0593304,Geofabrik OpenStreetMap GeoPackage extract,2026-08-16T00:08:49Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_laundromat
national-post-office-ca-postalannex-3d05afd908,PostalAnnex post-office-centered national sample candidate,national_post_office_sample_candidate,laundromat,osm:node:2600782837,Oasis Laundry,,,PostalAnnex,CA,,37.3799967,-122.0752444,Geofabrik OpenStreetMap GeoPackage extract,2026-08-16T00:08:49Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_laundromat
national-post-office-ca-postalannex-3d05afd908,PostalAnnex post-office-centered national sample candidate,national_post_office_sample_candidate,laundromat,osm:node:2638998571,PK's Cleaners,,,PostalAnnex,CA,,37.3766511,-122.1166072,Geofabrik OpenStreetMap GeoPackage extract,2026-08-16T00:08:49Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_laundromat
national-post-office-ca-postalannex-3d05afd908,PostalAnnex post-office-centered national sample candidate,national_post_office_sample_candidate,laundromat,osm:node:8830772460,Pal's Laundromat,,,PostalAnnex,CA,,37.3942411,-122.0963174,Geofabrik OpenStreetMap GeoPackage extract,2026-08-16T00:08:49Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_laundromat
national-post-office-ca-postalannex-3d05afd908,PostalAnnex post-office-centered national sample candidate,national_post_office_sample_candidate,laundromat,osm:node:4731463679,Rengstorff Laundromat,,,PostalAnnex,CA,,37.4107934,-122.0940142,Geofabrik OpenStreetMap GeoPackage extract,2026-08-16T00:08:49Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_laundromat
national-post-office-ca-postalannex-3d05afd908,PostalAnnex post-office-centered national sample candidate,national_post_office_sample_candidate,laundromat,osm:node:8282156161,Spotless Cleaners,,,PostalAnnex,CA,,37.4041027,-122.1190278,Geofabrik OpenStreetMap GeoPackage extract,2026-08-16T00:08:49Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_laundromat
national-post-office-ca-postalannex-3d05afd908,PostalAnnex post-office-centered national sample candidate,national_post_office_sample_candidate,laundromat,osm:node:5125007810,The Wash Stop,,,PostalAnnex,CA,,37.3853948,-122.0753260,Geofabrik OpenStreetMap GeoPackage extract,2026-08-16T00:08:49Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_laundromat
national-post-office-ca-postalannex-3d05afd908,PostalAnnex post-office-centered national sample candidate,national_post_office_sample_candidate,laundromat,osm:node:6635911196,Vogue Cleaners,,,PostalAnnex,CA,,37.3943047,-122.0954056,Geofabrik OpenStreetMap GeoPackage extract,2026-08-16T00:08:49Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_laundromat
national-post-office-ca-postalannex-3d05afd908,PostalAnnex post-office-centered national sample candidate,national_post_office_sample_candidate,laundromat,osm:node:1777779990,WashFoundry,,,PostalAnnex,CA,,37.3722076,-122.0582020,Geofabrik OpenStreetMap GeoPackage extract,2026-08-16T00:08:49Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_laundromat
national-post-office-ca-postalannex-3d05afd908,PostalAnnex post-office-centered national sample candidate,national_post_office_sample_candidate,laundromat,osm:node:3224283161,Washmix,,,PostalAnnex,CA,,37.3883268,-122.0828573,Geofabrik OpenStreetMap GeoPackage extract,2026-08-16T00:08:49Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_laundromat
national-post-office-ca-postalannex-3d05afd908,PostalAnnex post-office-centered national sample candidate,national_post_office_sample_candidate,laundromat,osm:node:2619982760,Webtown Dry Cleaners,,,PostalAnnex,CA,,37.3784899,-122.1181290,Geofabrik OpenStreetMap GeoPackage extract,2026-08-16T00:08:49Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_laundromat
national-post-office-ca-soledad-2a4f7e829e,Soledad post-office-centered national sample candidate,national_post_office_sample_candidate,laundromat,osm:node:8744325071,,,,Soledad,CA,,36.4246414,-121.3242822,Geofabrik OpenStreetMap GeoPackage extract,2026-08-16T00:08:49Z,open,ODbL; attribution and share-alike required,exclude,unnamed_household_service_anchor
national-post-office-ca-soledad-2a4f7e829e,Soledad post-office-centered national sample candidate,national_post_office_sample_candidate,laundromat,osm:node:14090760039,Gabilan Wash and Dry,,,Soledad,CA,,36.4367251,-121.3283237,Geofabrik OpenStreetMap GeoPackage extract,2026-08-16T00:08:49Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_laundromat
national-post-office-ca-sonora-e095478671,Sonora post-office-centered national sample candidate,national_post_office_sample_candidate,laundromat,osm:node:10038141048,Kathy's Miracle Cleaners,,,Sonora,CA,,37.9746158,-120.3437961,Geofabrik OpenStreetMap GeoPackage extract,2026-08-16T00:08:49Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_laundromat
national-post-office-ca-sonora-e095478671,Sonora post-office-centered national sample candidate,national_post_office_sample_candidate,laundromat,osm:node:5581534595,Sonora Wash and Dry,,,Sonora,CA,,37.9760565,-120.3692630,Geofabrik OpenStreetMap GeoPackage extract,2026-08-16T00:08:49Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_laundromat
national-post-office-ca-south-san-leandro-station-san-leandro-7dad12344d,South San Leandro Station San Leandro post-office-centered national sample candidate,national_post_office_sample_candidate,laundromat,osm:node:4049617428,Clean American Coin Laundromat,,,South San Leandro Station San Leandro,CA,,37.7432112,-122.1499703,Geofabrik OpenStreetMap GeoPackage extract,2026-08-16T00:08:49Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_laundromat
national-post-office-ca-south-san-leandro-station-san-leandro-7dad12344d,South San Leandro Station San Leandro post-office-centered national sample candidate,national_post_office_sample_candidate,laundromat,osm:node:3192696476,Launderworld,,,South San Leandro Station San Leandro,CA,,37.6875316,-122.1360616,Geofabrik OpenStreetMap GeoPackage extract,2026-08-16T00:08:49Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_laundromat
national-post-office-ca-south-san-leandro-station-san-leandro-7dad12344d,South San Leandro Station San Leandro post-office-centered national sample candidate,national_post_office_sample_candidate,laundromat,osm:node:12310579616,Organic Cleaners,,,South San Leandro Station San Leandro,CA,,37.7229917,-122.1538546,Geofabrik OpenStreetMap GeoPackage extract,2026-08-16T00:08:49Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_laundromat
national-post-office-ca-south-san-leandro-station-san-leandro-7dad12344d,South San Leandro Station San Leandro post-office-centered national sample candidate,national_post_office_sample_candidate,laundromat,osm:node:12397139680,Super Coin Op Laundry,,,South San Leandro Station San Leandro,CA,,37.7400733,-122.1678855,Geofabrik OpenStreetMap GeoPackage extract,2026-08-16T00:08:49Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_laundromat
national-post-office-ca-south-san-leandro-station-san-leandro-7dad12344d,South San Leandro Station San Leandro post-office-centered national sample candidate,national_post_office_sample_candidate,laundromat,osm:node:12421172644,Young's Cleaners,,,South San Leandro Station San Leandro,CA,,37.7433780,-122.1496016,Geofabrik OpenStreetMap GeoPackage extract,2026-08-16T00:08:49Z,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_laundromat
