target_id,target_label,anchor_field,facility_type,facility_id,facility_name,operator,street_address,city,state,postal_code,latitude,longitude,source,source_date,license_status,rights_status,review_status,review_reason
national-post-office-wy-airport-fcb22eb890,Airport post-office-centered national sample candidate,national_post_office_sample_candidate,laundromat,osm:way:258701977,Drop N Dash Laundromat,,,Airport,WY,,41.1584908,-104.8016951,Geofabrik OpenStreetMap GeoPackage extract,2026-08-16,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_laundromat
national-post-office-wy-fedex-ship-center-aa59f01bf8,FedEx Ship Center post-office-centered national sample candidate,national_post_office_sample_candidate,laundromat,osm:node:13051373627,,,,FedEx Ship Center,WY,,44.2778076,-105.5069232,Geofabrik OpenStreetMap GeoPackage extract,2026-08-16,open,ODbL; attribution and share-alike required,exclude,unnamed_household_service_anchor
national-post-office-wy-fedex-ship-center-aa59f01bf8,FedEx Ship Center post-office-centered national sample candidate,national_post_office_sample_candidate,laundromat,osm:way:491802706,Bear's Naturally Clean,,,FedEx Ship Center,WY,,44.2687474,-105.5078422,Geofabrik OpenStreetMap GeoPackage extract,2026-08-16,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_laundromat
national-post-office-wy-fedex-ship-center-aa59f01bf8,FedEx Ship Center post-office-centered national sample candidate,national_post_office_sample_candidate,laundromat,osm:way:261042083,Eastside Laundry,,,FedEx Ship Center,WY,,44.2916119,-105.4852011,Geofabrik OpenStreetMap GeoPackage extract,2026-08-16,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_laundromat
national-post-office-wy-fedex-ship-center-aa59f01bf8,FedEx Ship Center post-office-centered national sample candidate,national_post_office_sample_candidate,laundromat,osm:way:494015674,Surf 'n Suds,,,FedEx Ship Center,WY,,44.2928689,-105.5078724,Geofabrik OpenStreetMap GeoPackage extract,2026-08-16,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_laundromat
national-post-office-wy-fedex-ship-center-cffd1b3430,FedEx Ship Center post-office-centered national sample candidate,national_post_office_sample_candidate,laundromat,osm:way:534916371,Down To Earth,,,FedEx Ship Center,WY,,41.3179788,-105.5924794,Geofabrik OpenStreetMap GeoPackage extract,2026-08-16,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_laundromat
national-post-office-wy-fedex-ship-center-cffd1b3430,FedEx Ship Center post-office-centered national sample candidate,national_post_office_sample_candidate,laundromat,osm:way:316903854,Spic and Span Laundrette,,,FedEx Ship Center,WY,,41.3145397,-105.5922224,Geofabrik OpenStreetMap GeoPackage extract,2026-08-16,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_laundromat
national-post-office-wy-gillette-ea67d0f83b,Gillette post-office-centered national sample candidate,national_post_office_sample_candidate,laundromat,osm:node:12051388816,,,,Gillette,WY,,44.2720915,-105.5042430,Geofabrik OpenStreetMap GeoPackage extract,2026-08-16,open,ODbL; attribution and share-alike required,exclude,unnamed_household_service_anchor
national-post-office-wy-gillette-ea67d0f83b,Gillette post-office-centered national sample candidate,national_post_office_sample_candidate,laundromat,osm:node:12051388817,,,,Gillette,WY,,44.2713657,-105.5036515,Geofabrik OpenStreetMap GeoPackage extract,2026-08-16,open,ODbL; attribution and share-alike required,exclude,unnamed_household_service_anchor
national-post-office-wy-gillette-ea67d0f83b,Gillette post-office-centered national sample candidate,national_post_office_sample_candidate,laundromat,osm:node:12060206202,,,,Gillette,WY,,44.2776616,-105.5017122,Geofabrik OpenStreetMap GeoPackage extract,2026-08-16,open,ODbL; attribution and share-alike required,exclude,unnamed_household_service_anchor
national-post-office-wy-gillette-ea67d0f83b,Gillette post-office-centered national sample candidate,national_post_office_sample_candidate,laundromat,osm:node:13051373626,,,,Gillette,WY,,44.2778692,-105.5069230,Geofabrik OpenStreetMap GeoPackage extract,2026-08-16,open,ODbL; attribution and share-alike required,exclude,unnamed_household_service_anchor
national-post-office-wy-gillette-ea67d0f83b,Gillette post-office-centered national sample candidate,national_post_office_sample_candidate,laundromat,osm:node:13051373627,,,,Gillette,WY,,44.2778076,-105.5069232,Geofabrik OpenStreetMap GeoPackage extract,2026-08-16,open,ODbL; attribution and share-alike required,exclude,unnamed_household_service_anchor
national-post-office-wy-gillette-ea67d0f83b,Gillette post-office-centered national sample candidate,national_post_office_sample_candidate,laundromat,osm:way:491802706,Bear's Naturally Clean,,,Gillette,WY,,44.2687474,-105.5078422,Geofabrik OpenStreetMap GeoPackage extract,2026-08-16,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_laundromat
national-post-office-wy-gillette-ea67d0f83b,Gillette post-office-centered national sample candidate,national_post_office_sample_candidate,laundromat,osm:way:261042083,Eastside Laundry,,,Gillette,WY,,44.2916119,-105.4852011,Geofabrik OpenStreetMap GeoPackage extract,2026-08-16,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_laundromat
national-post-office-wy-gillette-ea67d0f83b,Gillette post-office-centered national sample candidate,national_post_office_sample_candidate,laundromat,osm:way:494015674,Surf 'n Suds,,,Gillette,WY,,44.2928689,-105.5078724,Geofabrik OpenStreetMap GeoPackage extract,2026-08-16,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_laundromat
national-post-office-wy-grant-village-d820af642d,Grant Village post-office-centered national sample candidate,national_post_office_sample_candidate,laundromat,osm:node:3694534607,,,,Grant Village,WY,,44.3912884,-110.5594260,Geofabrik OpenStreetMap GeoPackage extract,2026-08-16,open,ODbL; attribution and share-alike required,exclude,unnamed_household_service_anchor
national-post-office-wy-guernsey-bd2c0c26fe,Guernsey post-office-centered national sample candidate,national_post_office_sample_candidate,laundromat,osm:way:534051283,Soapy Suds Laundromat and Car wash,,,Guernsey,WY,,42.2679834,-104.7418712,Geofabrik OpenStreetMap GeoPackage extract,2026-08-16,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_laundromat
national-post-office-wy-laramie-23c310eec4,Laramie post-office-centered national sample candidate,national_post_office_sample_candidate,laundromat,osm:way:534916371,Down To Earth,,,Laramie,WY,,41.3179788,-105.5924794,Geofabrik OpenStreetMap GeoPackage extract,2026-08-16,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_laundromat
national-post-office-wy-laramie-23c310eec4,Laramie post-office-centered national sample candidate,national_post_office_sample_candidate,laundromat,osm:way:316903854,Spic and Span Laundrette,,,Laramie,WY,,41.3145397,-105.5922224,Geofabrik OpenStreetMap GeoPackage extract,2026-08-16,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_laundromat
national-post-office-wy-lyman-1d1e3a25dd,Lyman post-office-centered national sample candidate,national_post_office_sample_candidate,laundromat,osm:way:560399286,,,,Lyman,WY,,41.3304623,-110.2926638,Geofabrik OpenStreetMap GeoPackage extract,2026-08-16,open,ODbL; attribution and share-alike required,exclude,unnamed_household_service_anchor
national-post-office-wy-moosely-mail-52cbd0a071,Moosely Mail post-office-centered national sample candidate,national_post_office_sample_candidate,laundromat,osm:way:386736515,Clean Wash Laundymat,,,Moosely Mail,WY,,42.8660179,-109.8788578,Geofabrik OpenStreetMap GeoPackage extract,2026-08-16,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_laundromat
national-post-office-wy-moosely-mail-52cbd0a071,Moosely Mail post-office-centered national sample candidate,national_post_office_sample_candidate,laundromat,osm:way:372842378,Rocky Mountain Wash,,,Moosely Mail,WY,,42.8668517,-109.8742052,Geofabrik OpenStreetMap GeoPackage extract,2026-08-16,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_laundromat
national-post-office-wy-pinedale-ae0490e7c8,Pinedale post-office-centered national sample candidate,national_post_office_sample_candidate,laundromat,osm:way:386736515,Clean Wash Laundymat,,,Pinedale,WY,,42.8660179,-109.8788578,Geofabrik OpenStreetMap GeoPackage extract,2026-08-16,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_laundromat
national-post-office-wy-pinedale-ae0490e7c8,Pinedale post-office-centered national sample candidate,national_post_office_sample_candidate,laundromat,osm:way:372842378,Rocky Mountain Wash,,,Pinedale,WY,,42.8668517,-109.8742052,Geofabrik OpenStreetMap GeoPackage extract,2026-08-16,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_laundromat
national-post-office-wy-ranchester-c4e43d0fee,Ranchester post-office-centered national sample candidate,national_post_office_sample_candidate,laundromat,osm:node:4172875276,,,,Ranchester,WY,,44.9093416,-107.1682667,Geofabrik OpenStreetMap GeoPackage extract,2026-08-16,open,ODbL; attribution and share-alike required,exclude,unnamed_household_service_anchor
national-post-office-wy-sheridan-567830f9a6,Sheridan post-office-centered national sample candidate,national_post_office_sample_candidate,laundromat,osm:node:4194458428,Coin-op Laundry,,,Sheridan,WY,,44.8164837,-106.9553071,Geofabrik OpenStreetMap GeoPackage extract,2026-08-16,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_laundromat
national-post-office-wy-sheridan-567830f9a6,Sheridan post-office-centered national sample candidate,national_post_office_sample_candidate,laundromat,osm:node:4194353017,Sheridan Eco-n-o Wash,,,Sheridan,WY,,44.8070071,-106.9551800,Geofabrik OpenStreetMap GeoPackage extract,2026-08-16,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_laundromat
national-post-office-wy-sheridan-567830f9a6,Sheridan post-office-centered national sample candidate,national_post_office_sample_candidate,laundromat,osm:node:4177305555,Wash Yer Wollies,,,Sheridan,WY,,44.7732512,-106.9441607,Geofabrik OpenStreetMap GeoPackage extract,2026-08-16,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_laundromat
national-post-office-wy-the-ups-store-82a30bac18,The UPS Store post-office-centered national sample candidate,national_post_office_sample_candidate,laundromat,osm:node:12051388816,,,,The UPS Store,WY,,44.2720915,-105.5042430,Geofabrik OpenStreetMap GeoPackage extract,2026-08-16,open,ODbL; attribution and share-alike required,exclude,unnamed_household_service_anchor
national-post-office-wy-the-ups-store-82a30bac18,The UPS Store post-office-centered national sample candidate,national_post_office_sample_candidate,laundromat,osm:node:12051388817,,,,The UPS Store,WY,,44.2713657,-105.5036515,Geofabrik OpenStreetMap GeoPackage extract,2026-08-16,open,ODbL; attribution and share-alike required,exclude,unnamed_household_service_anchor
national-post-office-wy-the-ups-store-82a30bac18,The UPS Store post-office-centered national sample candidate,national_post_office_sample_candidate,laundromat,osm:node:12060206202,,,,The UPS Store,WY,,44.2776616,-105.5017122,Geofabrik OpenStreetMap GeoPackage extract,2026-08-16,open,ODbL; attribution and share-alike required,exclude,unnamed_household_service_anchor
national-post-office-wy-the-ups-store-82a30bac18,The UPS Store post-office-centered national sample candidate,national_post_office_sample_candidate,laundromat,osm:node:13051373626,,,,The UPS Store,WY,,44.2778692,-105.5069230,Geofabrik OpenStreetMap GeoPackage extract,2026-08-16,open,ODbL; attribution and share-alike required,exclude,unnamed_household_service_anchor
national-post-office-wy-the-ups-store-82a30bac18,The UPS Store post-office-centered national sample candidate,national_post_office_sample_candidate,laundromat,osm:node:13051373627,,,,The UPS Store,WY,,44.2778076,-105.5069232,Geofabrik OpenStreetMap GeoPackage extract,2026-08-16,open,ODbL; attribution and share-alike required,exclude,unnamed_household_service_anchor
national-post-office-wy-the-ups-store-82a30bac18,The UPS Store post-office-centered national sample candidate,national_post_office_sample_candidate,laundromat,osm:way:491802706,Bear's Naturally Clean,,,The UPS Store,WY,,44.2687474,-105.5078422,Geofabrik OpenStreetMap GeoPackage extract,2026-08-16,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_laundromat
national-post-office-wy-the-ups-store-82a30bac18,The UPS Store post-office-centered national sample candidate,national_post_office_sample_candidate,laundromat,osm:way:261042083,Eastside Laundry,,,The UPS Store,WY,,44.2916119,-105.4852011,Geofabrik OpenStreetMap GeoPackage extract,2026-08-16,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_laundromat
national-post-office-wy-the-ups-store-82a30bac18,The UPS Store post-office-centered national sample candidate,national_post_office_sample_candidate,laundromat,osm:way:494015674,Surf 'n Suds,,,The UPS Store,WY,,44.2928689,-105.5078724,Geofabrik OpenStreetMap GeoPackage extract,2026-08-16,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_laundromat
national-post-office-wy-the-ups-store-e0d2144187,The UPS Store post-office-centered national sample candidate,national_post_office_sample_candidate,laundromat,osm:way:258701977,Drop N Dash Laundromat,,,The UPS Store,WY,,41.1584908,-104.8016951,Geofabrik OpenStreetMap GeoPackage extract,2026-08-16,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_laundromat
national-post-office-wy-the-ups-store-f03488d118,The UPS Store post-office-centered national sample candidate,national_post_office_sample_candidate,laundromat,osm:way:534916371,Down To Earth,,,The UPS Store,WY,,41.3179788,-105.5924794,Geofabrik OpenStreetMap GeoPackage extract,2026-08-16,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_laundromat
national-post-office-wy-the-ups-store-f03488d118,The UPS Store post-office-centered national sample candidate,national_post_office_sample_candidate,laundromat,osm:way:316903854,Spic and Span Laundrette,,,The UPS Store,WY,,41.3145397,-105.5922224,Geofabrik OpenStreetMap GeoPackage extract,2026-08-16,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_laundromat
national-post-office-wy-thermopolis-a63759f7ea,Thermopolis post-office-centered national sample candidate,national_post_office_sample_candidate,laundromat,osm:node:11780554443,,,,Thermopolis,WY,,43.6386406,-108.2134736,Geofabrik OpenStreetMap GeoPackage extract,2026-08-16,open,ODbL; attribution and share-alike required,exclude,unnamed_household_service_anchor
national-post-office-wy-u-s-f49751acf0,U.S. post-office-centered national sample candidate,national_post_office_sample_candidate,laundromat,osm:node:2435790541,,,,U.S.,WY,,44.7353187,-110.4876976,Geofabrik OpenStreetMap GeoPackage extract,2026-08-16,open,ODbL; attribution and share-alike required,exclude,unnamed_household_service_anchor
national-post-office-wy-unknown-386fab779e,Unknown post-office-centered national sample candidate,national_post_office_sample_candidate,laundromat,osm:way:1148408821,,,,Unknown,WY,,41.2763929,-110.3347643,Geofabrik OpenStreetMap GeoPackage extract,2026-08-16,open,ODbL; attribution and share-alike required,exclude,unnamed_household_service_anchor
national-post-office-wy-unknown-386fab779e,Unknown post-office-centered national sample candidate,national_post_office_sample_candidate,laundromat,osm:way:560372142,,,,Unknown,WY,,41.2688633,-110.3402169,Geofabrik OpenStreetMap GeoPackage extract,2026-08-16,open,ODbL; attribution and share-alike required,exclude,unnamed_household_service_anchor
national-post-office-wy-unknown-f155d8dd03,Unknown post-office-centered national sample candidate,national_post_office_sample_candidate,laundromat,osm:node:10949201439,,,,Unknown,WY,,42.0624000,-104.1827913,Geofabrik OpenStreetMap GeoPackage extract,2026-08-16,open,ODbL; attribution and share-alike required,exclude,unnamed_household_service_anchor
national-post-office-wy-unknown-f155d8dd03,Unknown post-office-centered national sample candidate,national_post_office_sample_candidate,laundromat,osm:way:533954892,Starch Barn,,,Unknown,WY,,42.0573932,-104.1685934,Geofabrik OpenStreetMap GeoPackage extract,2026-08-16,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_laundromat
national-post-office-wy-us-cc5b48a86f,US post-office-centered national sample candidate,national_post_office_sample_candidate,laundromat,osm:way:763234051,Basin Laundry,,,US,WY,,44.3824546,-108.0386743,Geofabrik OpenStreetMap GeoPackage extract,2026-08-16,open,ODbL; attribution and share-alike required,packet_ready,geofabrik_named_laundromat
